Typical Measured Spectrum of Semrock FF01-690/8 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 1e-6 (Optical Density 6) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
290.0	7.7224e-06
290.2	6.1029e-06
290.4	4.823e-06
290.6	3.8116e-06
290.8	3.0123e-06
291.0	2.3806e-06
291.2	1.8813e-06
291.4	1.4868e-06
291.6	1.175e-06
291.8	9.2858e-07
292.0	7.3385e-07
292.2	5.7995e-07
292.4	4.5833e-07
292.6	3.6221e-07
292.8	2.8625e-07
293.0	2.3809e-07
293.2	2.4996e-07
293.4	2.6242e-07
293.6	2.7551e-07
293.8	2.8924e-07
294.0	3.0367e-07
294.2	3.1881e-07
294.4	3.347e-07
294.6	3.5139e-07
294.8	3.6891e-07
295.0	3.8731e-07
295.2	4.357e-07
295.4	4.9014e-07
295.6	5.5137e-07
295.8	6.2027e-07
296.0	6.9776e-07
296.2	7.8495e-07
296.4	8.8302e-07
296.6	9.9335e-07
296.8	1.1175e-06
297.0	1.2571e-06
297.2	1.4141e-06
297.4	1.5908e-06
297.6	1.7896e-06
297.8	2.0132e-06
298.0	2.2081e-06
298.2	1.9516e-06
298.4	1.7249e-06
298.6	1.5245e-06
298.8	1.3474e-06
299.0	1.1909e-06
299.2	1.0525e-06
299.4	9.3027e-07
299.6	8.222e-07
299.8	7.2669e-07
300.0	6.4227e-07
300.2	5.6766e-07
300.4	5.0172e-07
300.6	4.4343e-07
300.8	3.9192e-07
301.0	3.4639e-07
301.2	3.0615e-07
301.4	2.7059e-07
301.6	2.3915e-07
301.8	2.3173e-07
302.0	2.5124e-07
302.2	2.724e-07
302.4	2.9534e-07
302.6	3.2021e-07
302.8	3.4717e-07
303.0	3.764e-07
303.2	4.081e-07
303.4	4.4246e-07
303.6	4.7972e-07
303.8	5.2012e-07
304.0	5.6391e-07
304.2	6.114e-07
304.4	6.6288e-07
304.6	7.187e-07
304.8	7.7922e-07
305.0	8.4483e-07
305.2	9.4856e-07
305.4	1.065e-06
305.6	1.1581e-06
305.8	1.1439e-06
306.0	1.1299e-06
306.2	1.1161e-06
306.4	1.1025e-06
306.6	1.089e-06
306.8	1.0757e-06
307.0	1.0625e-06
307.2	1.0495e-06
307.4	1.0367e-06
307.6	1.024e-06
307.8	1.0115e-06
308.0	9.991e-07
308.2	9.8688e-07
308.4	9.7481e-07
308.6	9.6289e-07
308.8	9.5111e-07
309.0	9.3948e-07
309.2	9.2799e-07
309.4	8.7063e-07
309.6	7.8751e-07
309.8	7.1233e-07
310.0	6.4432e-07
310.2	5.8281e-07
310.4	5.2717e-07
310.6	4.7685e-07
310.8	4.3132e-07
311.0	3.9014e-07
311.2	3.529e-07
311.4	3.1921e-07
311.6	2.8873e-07
311.8	2.6117e-07
312.0	2.3624e-07
312.2	2.1368e-07
312.4	1.9328e-07
312.6	1.7483e-07
312.8	1.5814e-07
313.0	1.4304e-07
313.2	1.6e-07
313.4	1.8186e-07
313.6	2.0671e-07
313.8	2.3494e-07
314.0	2.6704e-07
314.2	3.0352e-07
314.4	3.4498e-07
314.6	3.921e-07
314.8	4.4567e-07
315.0	5.0655e-07
315.2	5.7574e-07
315.4	6.5439e-07
315.6	7.4379e-07
315.8	8.4539e-07
316.0	9.6088e-07
316.2	1.0921e-06
316.4	1.2413e-06
316.6	1.4109e-06
316.8	1.4887e-06
317.0	1.2973e-06
317.2	1.1306e-06
317.4	9.8527e-07
317.6	8.5863e-07
317.8	7.4827e-07
318.0	6.5209e-07
318.2	5.6828e-07
318.4	4.9523e-07
318.6	4.3158e-07
318.8	3.7611e-07
319.0	3.2776e-07
319.2	2.8563e-07
319.4	2.4892e-07
319.6	2.1693e-07
319.8	1.8904e-07
320.0	1.6475e-07
320.2	1.4357e-07
320.4	1.2512e-07
320.6	1.2797e-07
320.8	1.4351e-07
321.0	1.6094e-07
321.2	1.8049e-07
321.4	2.024e-07
321.6	2.2698e-07
321.8	2.5455e-07
322.0	2.8546e-07
322.2	3.2013e-07
322.4	3.59e-07
322.6	4.026e-07
322.8	4.5149e-07
323.0	5.0632e-07
323.2	5.6781e-07
323.4	6.3676e-07
323.6	7.1409e-07
323.8	8.0081e-07
324.0	8.9806e-07
324.2	1.0059e-06
324.4	8.8297e-07
324.6	7.7508e-07
324.8	6.8036e-07
325.0	5.9722e-07
325.2	5.2424e-07
325.4	4.6018e-07
325.6	4.0395e-07
325.8	3.5459e-07
326.0	3.1126e-07
326.2	2.7322e-07
326.4	2.3983e-07
326.6	2.1053e-07
326.8	1.848e-07
327.0	1.6222e-07
327.2	1.424e-07
327.4	1.2499e-07
327.6	1.0972e-07
327.8	9.6313e-08
328.0	9.1417e-08
328.2	9.8573e-08
328.4	1.0629e-07
328.6	1.1461e-07
328.8	1.2358e-07
329.0	1.3325e-07
329.2	1.4368e-07
329.4	1.5493e-07
329.6	1.6706e-07
329.8	1.8013e-07
330.0	1.9423e-07
330.2	2.0943e-07
330.4	2.2583e-07
330.6	2.435e-07
330.8	2.6256e-07
331.0	2.8312e-07
331.2	3.0528e-07
331.4	3.2917e-07
331.6	3.5494e-07
331.8	3.6686e-07
332.0	3.7415e-07
332.2	3.8158e-07
332.4	3.8916e-07
332.6	3.9689e-07
332.8	4.0478e-07
333.0	4.1282e-07
333.2	4.2102e-07
333.4	4.2939e-07
333.6	4.3792e-07
333.8	4.4662e-07
334.0	4.5549e-07
334.2	4.6454e-07
334.4	4.7377e-07
334.6	4.8318e-07
334.8	4.9278e-07
335.0	5.0257e-07
335.2	2.313e-07
335.4	1.0645e-07
335.6	6.165e-08
335.8	6.1039e-08
336.0	6.0434e-08
336.2	5.9835e-08
336.4	5.9242e-08
336.6	5.8655e-08
336.8	5.8074e-08
337.0	5.7499e-08
337.2	5.6929e-08
337.4	5.6365e-08
337.6	5.5806e-08
337.8	5.5253e-08
338.0	5.4706e-08
338.2	5.4164e-08
338.4	5.3627e-08
338.6	5.3095e-08
338.8	5.2569e-08
339.0	5.2048e-08
339.2	5.1533e-08
339.4	5.1114e-08
339.6	5.0745e-08
339.8	5.0378e-08
340.0	5.0014e-08
340.2	4.9652e-08
340.4	4.9293e-08
340.6	4.8936e-08
340.8	4.8583e-08
341.0	4.8231e-08
341.2	4.7883e-08
341.4	4.7536e-08
341.6	4.7193e-08
341.8	4.6851e-08
342.0	4.6512e-08
342.2	4.6176e-08
342.4	4.5842e-08
342.6	4.5511e-08
342.8	4.5182e-08
343.0	4.4863e-08
343.2	4.472e-08
343.4	4.4577e-08
343.6	4.4434e-08
343.8	4.4292e-08
344.0	4.415e-08
344.2	4.4009e-08
344.4	4.3868e-08
344.6	4.3728e-08
344.8	4.3588e-08
345.0	4.3449e-08
345.2	4.331e-08
345.4	4.3172e-08
345.6	4.3033e-08
345.8	4.2896e-08
346.0	4.2759e-08
346.2	4.2622e-08
346.4	4.2486e-08
346.6	4.235e-08
346.8	4.2301e-08
347.0	4.2367e-08
347.2	4.2434e-08
347.4	4.25e-08
347.6	4.2567e-08
347.8	4.2633e-08
348.0	4.27e-08
348.2	4.2767e-08
348.4	4.2834e-08
348.6	4.2901e-08
348.8	4.2968e-08
349.0	4.3035e-08
349.2	4.3103e-08
349.4	4.317e-08
349.6	4.3238e-08
349.8	4.3306e-08
350.0	4.3373e-08
350.2	4.3441e-08
350.4	4.3509e-08
350.6	4.3546e-08
350.8	4.3575e-08
351.0	4.3604e-08
351.2	4.3634e-08
351.4	4.3663e-08
351.6	4.3693e-08
351.8	4.3722e-08
352.0	4.3752e-08
352.2	4.3781e-08
352.4	4.3811e-08
352.6	4.3841e-08
352.8	4.387e-08
353.0	4.39e-08
353.2	4.3929e-08
353.4	4.3959e-08
353.6	4.3989e-08
353.8	4.4018e-08
354.0	4.4048e-08
354.2	4.4068e-08
354.4	4.4053e-08
354.6	4.4037e-08
354.8	4.4022e-08
355.0	4.4007e-08
355.2	4.3992e-08
355.4	4.3976e-08
355.6	4.3961e-08
355.8	4.3946e-08
356.0	4.3931e-08
356.2	4.3915e-08
356.4	4.39e-08
356.6	4.3885e-08
356.8	4.387e-08
357.0	4.3855e-08
357.2	4.384e-08
357.4	4.3824e-08
357.6	4.3809e-08
357.8	4.3794e-08
358.0	4.6509e-08
358.2	5.114e-08
358.4	5.6231e-08
358.6	6.183e-08
358.8	6.7986e-08
359.0	7.4756e-08
359.2	8.2199e-08
359.4	9.0383e-08
359.6	9.9382e-08
359.8	1.0928e-07
360.0	1.2016e-07
360.2	1.3212e-07
360.4	1.4528e-07
360.6	1.5974e-07
360.8	1.7565e-07
361.0	1.9313e-07
361.2	2.1236e-07
361.4	2.3351e-07
361.6	2.5584e-07
361.8	2.6348e-07
362.0	2.7135e-07
362.2	2.7946e-07
362.4	2.8781e-07
362.6	2.9641e-07
362.8	3.0527e-07
363.0	3.1439e-07
363.2	3.2379e-07
363.4	3.3346e-07
363.6	3.4343e-07
363.8	3.5369e-07
364.0	3.6426e-07
364.2	3.7514e-07
364.4	3.8635e-07
364.6	3.979e-07
364.8	4.0979e-07
365.0	4.2203e-07
365.2	3.4454e-07
365.4	2.8128e-07
365.6	2.2963e-07
365.8	1.8746e-07
366.0	1.5304e-07
366.2	1.2494e-07
366.4	1.02e-07
366.6	8.3269e-08
366.8	6.7979e-08
367.0	6.2387e-08
367.2	7.1153e-08
367.4	8.1151e-08
367.6	9.2554e-08
367.8	1.0556e-07
368.0	1.2039e-07
368.2	1.3731e-07
368.4	1.566e-07
368.6	1.7861e-07
368.8	2.0371e-07
369.0	2.3233e-07
369.2	2.6498e-07
369.4	3.0221e-07
369.6	3.4468e-07
369.8	3.9311e-07
370.0	4.4835e-07
370.2	5.1135e-07
370.4	5.832e-07
370.6	6.6515e-07
370.8	6.222e-07
371.0	5.4286e-07
371.2	4.7364e-07
371.4	4.1325e-07
371.6	3.6055e-07
371.8	3.1458e-07
372.0	2.7447e-07
