Typical Measured Spectrum of Semrock FF02-650/100 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
371.0	4.7373e-06
371.2	4.3834e-06
371.4	4.056e-06
371.6	3.753e-06
371.8	3.4726e-06
372.0	3.2132e-06
372.2	2.9732e-06
372.4	2.7511e-06
372.6	2.5456e-06
372.8	2.3554e-06
373.0	2.1795e-06
373.2	2.0166e-06
373.4	1.866e-06
373.6	1.7266e-06
373.8	1.5976e-06
374.0	1.4783e-06
374.2	1.3679e-06
374.4	1.2657e-06
374.6	1.1711e-06
374.8	1.0836e-06
375.0	1.0027e-06
375.2	1.036e-06
375.4	1.095e-06
375.6	1.1572e-06
375.8	1.2231e-06
376.0	1.2926e-06
376.2	1.3662e-06
376.4	1.4439e-06
376.6	1.526e-06
376.8	1.6128e-06
377.0	1.7045e-06
377.2	1.8015e-06
377.4	1.9039e-06
377.6	2.0122e-06
377.8	2.1267e-06
378.0	2.2476e-06
378.2	2.3755e-06
378.4	2.5106e-06
378.6	2.6534e-06
378.8	2.8043e-06
379.0	2.9638e-06
379.2	3.1324e-06
379.4	3.3105e-06
379.6	3.4988e-06
379.8	3.6978e-06
380.0	3.9081e-06
380.2	4.0143e-06
380.4	4.0977e-06
380.6	4.1828e-06
380.8	4.2696e-06
381.0	4.3583e-06
381.2	4.4488e-06
381.4	4.5412e-06
381.6	4.6355e-06
381.8	4.7317e-06
382.0	4.83e-06
382.2	4.9303e-06
382.4	5.0327e-06
382.6	5.1372e-06
382.8	5.2438e-06
383.0	5.3527e-06
383.2	5.4639e-06
383.4	5.5773e-06
383.6	5.6932e-06
383.8	5.8114e-06
384.0	5.932e-06
384.2	6.0552e-06
384.4	5.8356e-06
384.6	5.4805e-06
384.8	5.147e-06
385.0	4.8338e-06
385.2	4.5396e-06
385.4	4.2634e-06
385.6	4.0039e-06
385.8	3.7603e-06
386.0	3.5315e-06
386.2	3.3166e-06
386.4	3.1147e-06
386.6	2.9252e-06
386.8	2.7472e-06
387.0	2.58e-06
387.2	2.423e-06
387.4	2.2756e-06
387.6	2.1371e-06
387.8	2.0071e-06
388.0	1.8864e-06
388.2	1.773e-06
388.4	1.6665e-06
388.6	1.5664e-06
388.8	1.4722e-06
389.0	1.3838e-06
389.2	1.3006e-06
389.4	1.2225e-06
389.6	1.149e-06
389.8	1.08e-06
390.0	1.0151e-06
390.2	9.5411e-07
390.4	8.9679e-07
390.6	8.5923e-07
390.8	1.0431e-06
391.0	1.2662e-06
391.2	1.5372e-06
391.4	1.8661e-06
391.6	2.2653e-06
391.8	2.75e-06
392.0	3.3384e-06
392.2	4.0526e-06
392.4	4.9197e-06
392.6	5.9724e-06
392.8	7.2502e-06
393.0	8.8014e-06
393.2	1.0685e-05
393.4	1.2971e-05
393.6	1.2972e-05
393.8	1.296e-05
394.0	1.2949e-05
394.2	1.2938e-05
394.4	1.2926e-05
394.6	1.2915e-05
394.8	1.2904e-05
395.0	1.2892e-05
395.2	1.2881e-05
395.4	1.287e-05
395.6	1.2858e-05
395.8	1.2847e-05
396.0	1.2836e-05
396.2	1.2824e-05
396.4	1.2813e-05
396.6	1.2802e-05
396.8	1.2791e-05
397.0	1.2779e-05
397.2	1.2768e-05
397.4	1.2757e-05
397.6	1.2746e-05
397.8	1.2735e-05
398.0	1.2723e-05
398.2	1.2712e-05
398.4	1.2701e-05
398.6	1.1028e-05
398.8	9.1025e-06
399.0	7.5132e-06
399.2	6.2014e-06
399.4	5.1187e-06
399.6	4.225e-06
399.8	3.4873e-06
400.0	2.8785e-06
400.2	2.3759e-06
400.4	1.9611e-06
400.6	1.6187e-06
400.8	1.3361e-06
401.0	1.1028e-06
401.2	9.1025e-07
401.4	7.5133e-07
401.6	6.2015e-07
401.8	5.1187e-07
402.0	4.225e-07
402.2	3.4874e-07
402.4	2.8785e-07
402.6	2.3759e-07
402.8	1.9611e-07
403.0	1.6187e-07
403.2	1.3361e-07
403.4	1.1028e-07
403.6	1.0296e-07
403.8	1.0927e-07
404.0	1.1596e-07
404.2	1.2307e-07
404.4	1.3061e-07
404.6	1.3861e-07
404.8	1.471e-07
405.0	1.5611e-07
405.2	1.6568e-07
405.4	1.7583e-07
405.6	1.866e-07
405.8	1.9804e-07
406.0	2.1017e-07
406.2	2.2305e-07
406.4	2.3672e-07
406.6	2.5122e-07
406.8	2.6661e-07
407.0	2.8295e-07
407.2	3.0029e-07
407.4	3.1869e-07
407.6	3.3821e-07
407.8	3.6068e-07
408.0	3.9015e-07
408.2	4.2202e-07
408.4	4.565e-07
408.6	4.9379e-07
408.8	5.3413e-07
409.0	5.7777e-07
409.2	6.2497e-07
409.4	6.7602e-07
409.6	7.3125e-07
409.8	7.9099e-07
410.0	8.5561e-07
410.2	9.2551e-07
410.4	1.0011e-06
410.6	1.0829e-06
410.8	1.1714e-06
411.0	1.2671e-06
411.2	1.3706e-06
411.4	1.4825e-06
411.6	1.3651e-06
411.8	1.1788e-06
412.0	1.018e-06
412.2	8.7904e-07
412.4	7.5908e-07
412.6	6.5549e-07
412.8	5.6604e-07
413.0	4.888e-07
413.2	4.2209e-07
413.4	3.6449e-07
413.6	3.1475e-07
413.8	2.718e-07
414.0	2.3471e-07
414.2	2.0268e-07
414.4	1.7502e-07
414.6	1.5114e-07
414.8	1.3051e-07
415.0	1.127e-07
415.2	1.0e-07
415.4	1.0e-07
415.6	1.0e-07
415.8	1.0e-07
416.0	1.0e-07
416.2	1.0e-07
416.4	1.0e-07
416.6	1.0e-07
416.8	1.0e-07
417.0	1.0e-07
417.2	1.0e-07
417.4	1.0e-07
417.6	1.0e-07
417.8	1.0e-07
418.0	1.0e-07
418.2	1.0e-07
418.4	1.0e-07
418.6	1.0e-07
418.8	1.0e-07
419.0	1.0e-07
419.2	1.0e-07
419.4	1.0e-07
419.6	1.0e-07
419.8	1.0e-07
420.0	1.0e-07
420.2	1.0e-07
420.4	1.0e-07
420.6	1.0e-07
420.8	1.0e-07
421.0	1.0e-07
421.2	1.0e-07
421.4	1.0e-07
421.6	1.0e-07
421.8	1.0e-07
422.0	1.0e-07
422.2	1.0e-07
422.4	1.0e-07
422.6	1.0e-07
422.8	1.0e-07
423.0	1.0e-07
423.2	1.0e-07
423.4	1.0e-07
423.6	1.0e-07
423.8	1.0e-07
424.0	1.0e-07
424.2	1.0e-07
424.4	1.0e-07
424.6	1.0e-07
424.8	1.0e-07
425.0	1.0e-07
425.2	1.0e-07
425.4	1.0e-07
425.6	1.0e-07
425.8	1.0e-07
426.0	1.0e-07
426.2	1.0e-07
426.4	1.0e-07
426.6	1.0e-07
426.8	1.0e-07
427.0	1.0e-07
427.2	1.0e-07
427.4	1.0e-07
427.6	1.0e-07
427.8	1.0e-07
428.0	1.0e-07
428.2	1.0e-07
428.4	1.0e-07
428.6	1.0e-07
428.8	1.0e-07
429.0	1.0e-07
429.2	1.0e-07
429.4	1.0e-07
429.6	1.0e-07
429.8	1.0e-07
430.0	1.0e-07
430.2	1.0e-07
430.4	1.0e-07
430.6	1.0e-07
430.8	1.0e-07
431.0	1.0e-07
431.2	1.0e-07
431.4	1.0e-07
431.6	1.0e-07
431.8	1.0e-07
432.0	1.0e-07
432.2	1.0e-07
432.4	1.0e-07
432.6	1.0e-07
432.8	1.0e-07
433.0	1.0e-07
433.2	1.0e-07
433.4	1.0e-07
433.6	1.0e-07
433.8	1.0e-07
434.0	1.0e-07
434.2	1.0e-07
434.4	1.0e-07
434.6	1.0e-07
434.8	1.0e-07
435.0	1.0e-07
435.2	1.0e-07
435.4	1.0e-07
435.6	1.0e-07
435.8	1.0e-07
436.0	1.0e-07
436.2	1.0e-07
436.4	1.0e-07
436.6	1.0e-07
436.8	1.0e-07
437.0	1.0e-07
437.2	1.0e-07
437.4	1.0e-07
437.6	1.0e-07
437.8	1.0e-07
438.0	1.0e-07
438.2	1.0e-07
438.4	1.0e-07
438.6	1.0e-07
438.8	1.0e-07
439.0	1.0e-07
439.2	1.0e-07
439.4	1.0e-07
439.6	1.0e-07
439.8	1.0e-07
440.0	1.0e-07
440.2	1.0e-07
440.4	1.0e-07
440.6	1.0e-07
440.8	1.0e-07
441.0	1.0e-07
441.2	1.0e-07
441.4	1.0e-07
441.6	1.0e-07
441.8	1.0e-07
442.0	1.0e-07
442.2	1.0e-07
442.4	1.0e-07
442.6	1.0e-07
442.8	1.0e-07
443.0	1.0e-07
443.2	1.0e-07
443.4	1.0e-07
443.6	1.0e-07
443.8	1.0e-07
444.0	1.0e-07
444.2	1.0e-07
444.4	1.0e-07
444.6	1.0e-07
444.8	1.0e-07
445.0	1.0e-07
445.2	9.4723e-08
445.4	8.9469e-08
445.6	8.4507e-08
445.8	7.982e-08
446.0	7.5392e-08
446.2	7.1211e-08
446.4	6.7261e-08
446.6	6.353e-08
446.8	6.0006e-08
447.0	5.6678e-08
447.2	5.3534e-08
447.4	5.0565e-08
447.6	4.776e-08
447.8	4.5111e-08
448.0	4.2609e-08
448.2	4.0246e-08
448.4	3.8014e-08
448.6	3.5905e-08
448.8	3.5681e-08
449.0	3.7777e-08
449.2	3.9997e-08
449.4	4.2347e-08
449.6	4.4835e-08
449.8	4.747e-08
450.0	5.0259e-08
450.2	5.3212e-08
450.4	5.6338e-08
450.6	5.9648e-08
450.8	6.3153e-08
451.0	6.6864e-08
451.2	7.0792e-08
451.4	7.4952e-08
451.6	7.9356e-08
451.8	8.4018e-08
452.0	8.8955e-08
452.2	9.4181e-08
452.4	9.9715e-08
452.6	1.0e-07
452.8	1.0e-07
453.0	1.0e-07
453.2	1.0e-07
453.4	1.0e-07
453.6	1.0e-07
453.8	1.0e-07
454.0	1.0e-07
454.2	1.0e-07
454.4	1.0e-07
454.6	1.0e-07
454.8	1.0e-07
455.0	1.0e-07
455.2	1.0e-07
455.4	1.0e-07
455.6	1.0e-07
455.8	1.0e-07
456.0	1.0e-07
456.2	1.0e-07
456.4	1.0e-07
456.6	1.0e-07
456.8	1.0e-07
457.0	1.0e-07
457.2	1.0e-07
457.4	1.0e-07
457.6	1.0e-07
457.8	1.0e-07
458.0	1.0e-07
458.2	1.0e-07
458.4	1.0e-07
458.6	1.0e-07
458.8	1.0e-07
459.0	1.0e-07
459.2	1.0e-07
459.4	1.0e-07
459.6	1.0e-07
459.8	1.0e-07
460.0	1.0e-07
460.2	1.0e-07
460.4	1.0e-07
460.6	1.0e-07
460.8	1.0e-07
461.0	1.0e-07
461.2	1.0e-07
461.4	1.0e-07
461.6	1.0e-07
461.8	1.0e-07
462.0	1.0e-07
462.2	1.0e-07
462.4	1.0e-07
462.6	1.0e-07
462.8	1.0e-07
463.0	1.0e-07
463.2	1.0e-07
463.4	1.0e-07
463.6	1.0e-07
463.8	1.0e-07
464.0	1.0e-07
464.2	1.0e-07
464.4	1.0e-07
464.6	1.0e-07
464.8	1.0e-07
465.0	1.0e-07
465.2	1.0e-07
465.4	1.0e-07
465.6	1.0e-07
465.8	1.0e-07
466.0	1.0e-07
466.2	1.0e-07
466.4	1.0e-07
466.6	1.0e-07
466.8	1.0e-07
467.0	1.0e-07
467.2	1.025e-07
467.4	1.4251e-07
467.6	1.9814e-07
467.8	2.7548e-07
468.0	3.8301e-07
468.2	3.6761e-07
468.4	3.5282e-07
468.6	3.3863e-07
468.8	3.2501e-07
469.0	3.1194e-07
469.2	2.9939e-07
469.4	2.8735e-07
469.6	2.7579e-07
469.8	2.6469e-07
470.0	2.5405e-07
470.2	2.4383e-07
470.4	2.3402e-07
470.6	2.2539e-07
470.8	2.3054e-07
471.0	2.358e-07
471.2	2.4117e-07
471.4	2.4668e-07
471.6	2.523e-07
471.8	2.5806e-07
472.0	2.6395e-07
472.2	2.6997e-07
472.4	2.7613e-07
472.6	2.8243e-07
472.8	2.8887e-07
473.0	2.9546e-07
473.2	3.022e-07
473.4	3.0909e-07
473.6	3.1614e-07
473.8	3.2336e-07
474.0	3.3073e-07
474.2	3.3828e-07
474.4	3.3971e-07
474.6	3.3637e-07
474.8	3.3306e-07
475.0	3.2978e-07
475.2	3.2654e-07
475.4	3.2332e-07
475.6	3.2014e-07
475.8	3.1699e-07
476.0	3.1388e-07
476.2	3.1079e-07
476.4	3.0773e-07
476.6	3.047e-07
476.8	3.0171e-07
477.0	2.9874e-07
477.2	2.958e-07
477.4	2.9289e-07
477.6	2.9001e-07
477.8	2.8715e-07
478.0	2.8464e-07
478.2	2.8524e-07
478.4	2.8585e-07
478.6	2.8646e-07
478.8	2.8707e-07
479.0	2.8768e-07
479.2	2.8829e-07
479.4	2.8891e-07
479.6	2.8952e-07
479.8	2.9014e-07
480.0	2.9076e-07
480.2	2.9138e-07
480.4	2.92e-07
480.6	2.9262e-07
480.8	2.9324e-07
481.0	2.9387e-07
481.2	2.9449e-07
481.4	2.9512e-07
481.6	2.9575e-07
481.8	2.981e-07
482.0	3.0155e-07
482.2	3.0504e-07
482.4	3.0857e-07
482.6	3.1214e-07
482.8	3.1575e-07
483.0	3.194e-07
483.2	3.2309e-07
483.4	3.2683e-07
483.6	3.3061e-07
483.8	3.3443e-07
484.0	3.383e-07
484.2	3.4221e-07
484.4	3.4617e-07
484.6	3.5017e-07
484.8	3.5422e-07
485.0	3.5832e-07
485.2	3.6246e-07
485.4	3.6595e-07
485.6	3.658e-07
485.8	3.6565e-07
486.0	3.655e-07
486.2	3.6535e-07
486.4	3.652e-07
486.6	3.6505e-07
486.8	3.649e-07
487.0	3.6475e-07
487.2	3.646e-07
487.4	3.6445e-07
487.6	3.643e-07
487.8	3.6415e-07
488.0	3.64e-07
488.2	3.6385e-07
488.4	3.637e-07
488.6	3.6355e-07
488.8	3.634e-07
489.0	3.6325e-07
489.2	3.6573e-07
489.4	3.6931e-07
489.6	3.7293e-07
489.8	3.7658e-07
490.0	3.8027e-07
490.2	3.8399e-07
490.4	3.8775e-07
490.6	3.9155e-07
490.8	3.9539e-07
491.0	3.9926e-07
491.2	4.0317e-07
491.4	4.0712e-07
491.6	4.1111e-07
491.8	4.1513e-07
492.0	4.192e-07
492.2	4.2331e-07
492.4	4.2745e-07
492.6	4.3164e-07
492.8	4.3476e-07
493.0	4.3497e-07
493.2	4.3519e-07
493.4	4.354e-07
493.6	4.3562e-07
493.8	4.3583e-07
494.0	4.3605e-07
494.2	4.3626e-07
494.4	4.3648e-07
494.6	4.3669e-07
494.8	4.3691e-07
495.0	4.3712e-07
495.2	4.3734e-07
495.4	4.3755e-07
495.6	4.3777e-07
495.8	4.3799e-07
496.0	4.382e-07
496.2	4.3842e-07
496.4	4.3863e-07
496.6	4.371e-07
496.8	4.3526e-07
497.0	4.3343e-07
497.2	4.316e-07
497.4	4.2978e-07
497.6	4.2797e-07
497.8	4.2617e-07
498.0	4.2437e-07
498.2	4.2258e-07
498.4	4.208e-07
