Typical Measured Spectrum of Semrock FF01-711/25 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
270.0	8.0055e-07
270.2	7.938e-07
270.4	7.871e-07
270.6	7.8047e-07
270.8	8.0116e-07
271.0	9.1248e-07
271.2	1.0393e-06
271.4	1.1837e-06
271.6	1.3481e-06
271.8	1.5354e-06
272.0	1.7488e-06
272.2	1.9918e-06
272.4	2.2685e-06
272.6	2.5837e-06
272.8	2.9427e-06
273.0	3.3516e-06
273.2	3.8173e-06
273.4	4.3477e-06
273.6	4.9518e-06
273.8	5.6398e-06
274.0	6.4234e-06
274.2	7.316e-06
274.4	8.3325e-06
274.6	6.3726e-06
274.8	3.631e-06
275.0	2.0688e-06
275.2	1.3015e-06
275.4	8.1878e-07
275.6	6.7089e-07
275.8	7.3192e-07
276.0	7.985e-07
276.2	8.7114e-07
276.4	9.5038e-07
276.6	1.0368e-06
276.8	1.1312e-06
277.0	1.234e-06
277.2	1.3463e-06
277.4	1.4688e-06
277.6	1.6024e-06
277.8	1.7481e-06
278.0	1.9072e-06
278.2	2.0807e-06
278.4	2.2699e-06
278.6	2.4764e-06
278.8	2.7017e-06
279.0	2.9475e-06
279.2	3.2156e-06
279.4	3.0839e-06
279.6	2.8696e-06
279.8	2.6701e-06
280.0	2.4845e-06
280.2	2.3118e-06
280.4	2.1512e-06
280.6	2.0017e-06
280.8	1.8625e-06
281.0	1.7331e-06
281.2	1.6126e-06
281.4	1.5005e-06
281.6	1.3962e-06
281.8	1.2992e-06
282.0	1.2089e-06
282.2	1.1249e-06
282.4	1.0467e-06
282.6	9.7394e-07
282.8	9.0624e-07
283.0	8.4174e-07
283.2	7.7388e-07
283.4	7.115e-07
283.6	6.5414e-07
283.8	6.0141e-07
284.0	5.5293e-07
284.2	5.0836e-07
284.4	4.6738e-07
284.6	4.297e-07
284.8	3.9506e-07
285.0	3.6322e-07
285.2	3.5666e-07
285.4	3.5021e-07
285.6	3.6335e-07
285.8	3.9364e-07
286.0	4.2647e-07
286.2	4.6202e-07
286.4	5.0054e-07
286.6	5.4228e-07
286.8	5.8749e-07
287.0	6.3647e-07
287.2	6.8954e-07
287.4	7.4703e-07
287.6	8.0932e-07
287.8	8.7679e-07
288.0	9.499e-07
288.2	1.0291e-06
288.4	1.1149e-06
288.6	1.2079e-06
288.8	1.3086e-06
289.0	1.4177e-06
289.2	1.5359e-06
289.4	1.6557e-06
289.6	1.7839e-06
289.8	1.922e-06
290.0	2.0708e-06
290.2	2.2311e-06
290.4	2.4038e-06
290.6	2.59e-06
290.8	2.7905e-06
291.0	3.0065e-06
291.2	3.2393e-06
291.4	3.4901e-06
291.6	3.7603e-06
291.8	4.0514e-06
292.0	4.3651e-06
292.2	4.7031e-06
292.4	5.0672e-06
292.6	5.4595e-06
292.8	5.8822e-06
293.0	6.0315e-06
293.2	5.3096e-06
293.4	4.674e-06
293.6	4.1146e-06
293.8	3.6221e-06
294.0	3.1885e-06
294.2	2.8069e-06
294.4	2.4709e-06
294.6	2.1751e-06
294.8	1.9148e-06
295.0	1.6856e-06
295.2	1.481e-06
295.4	1.3013e-06
295.6	1.1433e-06
295.8	1.0046e-06
296.0	8.8266e-07
296.2	7.7554e-07
296.4	6.8142e-07
296.6	5.9872e-07
296.8	5.2605e-07
297.0	4.6221e-07
297.2	4.0611e-07
297.4	3.5682e-07
297.6	3.1352e-07
297.8	2.7547e-07
298.0	2.4609e-07
298.2	2.4342e-07
298.4	2.4078e-07
298.6	2.3817e-07
298.8	2.3559e-07
299.0	2.3304e-07
299.2	2.3052e-07
299.4	2.2802e-07
299.6	2.2555e-07
299.8	2.2311e-07
300.0	2.2069e-07
300.2	2.183e-07
300.4	2.1594e-07
300.6	2.136e-07
300.8	2.1128e-07
301.0	2.0899e-07
301.2	2.0673e-07
301.4	2.0449e-07
301.6	2.0228e-07
301.8	1.9974e-07
302.0	1.969e-07
302.2	1.9409e-07
302.4	1.9132e-07
302.6	1.886e-07
302.8	1.8591e-07
303.0	1.8326e-07
303.2	1.8065e-07
303.4	1.7807e-07
303.6	1.7554e-07
303.8	1.7304e-07
304.0	1.7057e-07
304.2	1.6814e-07
304.4	1.6574e-07
304.6	1.6338e-07
304.8	1.6105e-07
305.0	1.5876e-07
305.2	1.5634e-07
305.4	1.5396e-07
305.6	1.5202e-07
305.8	1.5138e-07
306.0	1.5073e-07
306.2	1.5009e-07
306.4	1.4946e-07
306.6	1.4882e-07
306.8	1.4819e-07
307.0	1.4756e-07
307.2	1.4693e-07
307.4	1.4631e-07
307.6	1.4569e-07
307.8	1.4507e-07
308.0	1.4445e-07
308.2	1.4384e-07
308.4	1.4322e-07
308.6	1.4262e-07
308.8	1.4201e-07
309.0	1.4141e-07
309.2	1.4081e-07
309.4	1.4017e-07
309.6	1.3951e-07
309.8	1.3885e-07
310.0	1.382e-07
310.2	1.3755e-07
310.4	1.369e-07
310.6	1.3625e-07
310.8	1.3561e-07
311.0	1.3497e-07
311.2	1.3434e-07
311.4	1.3371e-07
311.6	1.3308e-07
311.8	1.3245e-07
312.0	1.3182e-07
312.2	1.312e-07
312.4	1.3059e-07
312.6	1.2997e-07
312.8	1.2936e-07
313.0	1.2875e-07
313.2	1.2806e-07
313.4	1.2736e-07
313.6	1.2667e-07
313.8	1.2599e-07
314.0	1.253e-07
314.2	1.2462e-07
314.4	1.2395e-07
314.6	1.2328e-07
314.8	1.2261e-07
315.0	1.2194e-07
315.2	1.2128e-07
315.4	1.2063e-07
315.6	1.1997e-07
315.8	1.1932e-07
316.0	1.1868e-07
316.2	1.1803e-07
316.4	1.1739e-07
316.6	1.1676e-07
316.8	1.1617e-07
317.0	1.1569e-07
317.2	1.1521e-07
317.4	1.1473e-07
317.6	1.1426e-07
317.8	1.1379e-07
318.0	1.1332e-07
318.2	1.1285e-07
318.4	1.1239e-07
318.6	1.1192e-07
318.8	1.1146e-07
319.0	1.11e-07
319.2	1.1055e-07
319.4	1.1009e-07
319.6	1.0964e-07
319.8	1.0918e-07
320.0	1.0873e-07
320.2	1.0829e-07
320.4	1.0784e-07
320.6	1.0749e-07
320.8	1.0719e-07
321.0	1.0689e-07
321.2	1.0659e-07
321.4	1.063e-07
321.6	1.06e-07
321.8	1.0571e-07
322.0	1.0541e-07
322.2	1.0512e-07
322.4	1.0483e-07
322.6	1.0453e-07
322.8	1.0424e-07
323.0	1.0395e-07
323.2	1.0367e-07
323.4	1.0338e-07
323.6	1.0309e-07
323.8	1.028e-07
324.0	1.0252e-07
324.2	1.0223e-07
324.4	1.0104e-07
324.6	9.9855e-08
324.8	9.8687e-08
325.0	9.7532e-08
325.2	9.6392e-08
325.4	9.5264e-08
325.6	9.415e-08
325.8	9.3049e-08
326.0	9.1961e-08
326.2	9.0885e-08
326.4	8.9822e-08
326.6	8.8772e-08
326.8	8.7733e-08
327.0	8.6707e-08
327.2	8.5693e-08
327.4	8.4691e-08
327.6	8.37e-08
327.8	8.2721e-08
328.0	8.5492e-08
328.2	9.519e-08
328.4	1.0599e-07
328.6	1.1801e-07
328.8	1.314e-07
329.0	1.463e-07
329.2	1.629e-07
329.4	1.8138e-07
329.6	2.0195e-07
329.8	2.2486e-07
330.0	2.5037e-07
330.2	2.7877e-07
330.4	3.104e-07
330.6	3.4561e-07
330.8	3.8481e-07
331.0	4.2846e-07
331.2	4.7707e-07
331.4	5.3118e-07
331.6	5.9144e-07
331.8	5.7379e-07
332.0	5.3234e-07
332.2	4.9388e-07
332.4	4.582e-07
332.6	4.251e-07
332.8	3.9439e-07
333.0	3.6589e-07
333.2	3.3946e-07
333.4	3.1493e-07
333.6	2.9218e-07
333.8	2.7107e-07
334.0	2.5149e-07
334.2	2.3332e-07
334.4	2.1646e-07
334.6	2.0083e-07
334.8	1.8632e-07
335.0	1.7286e-07
335.2	1.4996e-07
335.4	1.3009e-07
335.6	1.158e-07
335.8	1.1048e-07
336.0	1.0542e-07
336.2	1.0058e-07
336.4	9.5966e-08
336.6	9.1564e-08
336.8	8.7363e-08
337.0	8.3356e-08
337.2	7.9532e-08
337.4	7.5883e-08
337.6	7.2402e-08
337.8	6.9081e-08
338.0	6.5912e-08
338.2	6.2888e-08
338.4	6.0003e-08
338.6	5.7251e-08
338.8	5.4624e-08
339.0	5.2119e-08
339.2	4.9728e-08
339.4	5.0513e-08
339.6	5.3192e-08
339.8	5.6014e-08
340.0	5.8984e-08
340.2	6.2113e-08
340.4	6.5407e-08
340.6	6.8876e-08
340.8	7.2529e-08
341.0	7.6376e-08
341.2	8.0427e-08
341.4	8.4693e-08
341.6	8.9184e-08
341.8	9.3915e-08
342.0	9.8896e-08
342.2	1.0414e-07
342.4	1.0966e-07
342.6	1.1548e-07
342.8	1.2161e-07
343.0	1.2791e-07
343.2	1.2017e-07
343.4	1.129e-07
343.6	1.0607e-07
343.8	9.9653e-08
344.0	9.3624e-08
344.2	8.796e-08
344.4	8.2639e-08
344.6	7.7639e-08
344.8	7.2942e-08
345.0	6.8529e-08
345.2	6.4384e-08
345.4	6.0488e-08
345.6	5.6829e-08
345.8	5.3391e-08
346.0	5.0161e-08
346.2	4.7126e-08
346.4	4.4275e-08
346.6	4.1597e-08
346.8	4.0068e-08
347.0	4.0132e-08
347.2	4.0197e-08
347.4	4.0262e-08
347.6	4.0326e-08
347.8	4.0391e-08
348.0	4.0456e-08
348.2	4.0521e-08
348.4	4.0586e-08
348.6	4.0652e-08
348.8	4.0717e-08
349.0	4.0782e-08
349.2	4.0848e-08
349.4	4.0914e-08
349.6	4.0979e-08
349.8	4.1045e-08
350.0	4.1111e-08
350.2	4.1177e-08
350.4	4.1244e-08
350.6	4.5657e-08
350.8	5.199e-08
351.0	5.92e-08
351.2	6.7411e-08
351.4	7.6761e-08
351.6	8.7408e-08
351.8	9.9531e-08
352.0	1.1334e-07
352.2	1.2905e-07
352.4	1.4695e-07
352.6	1.6734e-07
352.8	1.9055e-07
353.0	2.1697e-07
353.2	2.4707e-07
353.4	2.8133e-07
353.6	3.2035e-07
353.8	3.6479e-07
354.0	4.1538e-07
354.2	4.7029e-07
354.4	5.1829e-07
354.6	5.7118e-07
354.8	6.2948e-07
355.0	6.9372e-07
355.2	7.6452e-07
355.4	8.4254e-07
355.6	9.2852e-07
355.8	1.0233e-06
356.0	1.1277e-06
356.2	1.2428e-06
356.4	1.3696e-06
356.6	1.5094e-06
356.8	1.6635e-06
357.0	1.8332e-06
357.2	2.0203e-06
357.4	2.2265e-06
357.6	2.4537e-06
357.8	2.7041e-06
358.0	2.4834e-06
358.2	1.9986e-06
358.4	1.6085e-06
358.6	1.2945e-06
358.8	1.0418e-06
359.0	8.3843e-07
359.2	6.7476e-07
359.4	5.4304e-07
359.6	4.3704e-07
359.8	3.5172e-07
360.0	2.8306e-07
360.2	2.2781e-07
360.4	1.8334e-07
360.6	1.4755e-07
360.8	1.1875e-07
361.0	9.5566e-08
361.2	7.6911e-08
361.4	6.1897e-08
361.6	4.9814e-08
361.8	5.7078e-08
362.0	6.5517e-08
362.2	7.5204e-08
362.4	8.6323e-08
362.6	9.9086e-08
362.8	1.1374e-07
363.0	1.3055e-07
363.2	1.4985e-07
363.4	1.7201e-07
363.6	1.9744e-07
363.8	2.2663e-07
364.0	2.6014e-07
364.2	2.986e-07
364.4	3.4275e-07
364.6	3.9343e-07
364.8	4.516e-07
365.0	5.1837e-07
365.2	5.8193e-07
365.4	6.5329e-07
365.6	7.334e-07
365.8	8.2333e-07
366.0	9.2233e-07
366.2	9.3079e-07
366.4	9.3933e-07
366.6	9.4795e-07
366.8	9.5665e-07
367.0	9.6543e-07
367.2	9.7429e-07
367.4	9.8324e-07
367.6	9.9226e-07
367.8	1.0014e-06
368.0	1.0501e-06
368.2	1.1191e-06
368.4	1.1926e-06
368.6	1.2709e-06
368.8	1.3544e-06
369.0	1.4434e-06
369.2	1.5382e-06
369.4	1.6392e-06
369.6	1.7469e-06
369.8	1.812e-06
370.0	1.8036e-06
370.2	1.7951e-06
370.4	1.7867e-06
370.6	1.7783e-06
370.8	1.77e-06
371.0	1.7617e-06
371.2	1.7535e-06
371.4	1.7453e-06
371.6	1.7775e-06
371.8	2.3179e-06
372.0	3.0227e-06
372.2	3.9419e-06
372.4	5.1405e-06
372.6	6.7035e-06
372.8	8.7418e-06
373.0	1.14e-05
373.2	1.4866e-05
373.4	1.9387e-05
373.6	2.3119e-05
373.8	2.6882e-05
374.0	3.1258e-05
374.2	3.6347e-05
374.4	4.2264e-05
374.6	4.9144e-05
374.8	5.7144e-05
375.0	6.6446e-05
375.2	7.7263e-05
375.4	6.9659e-05
375.6	4.741e-05
375.8	3.2267e-05
376.0	2.1961e-05
376.2	1.4947e-05
376.4	1.0173e-05
376.6	6.9234e-06
376.8	4.7121e-06
377.0	3.207e-06
377.2	2.2619e-06
377.4	1.8984e-06
377.6	1.5933e-06
377.8	1.3373e-06
378.0	1.1224e-06
378.2	9.4201e-07
378.4	7.9063e-07
378.6	6.6358e-07
378.8	5.5694e-07
379.0	4.6744e-07
379.2	4.3806e-07
379.4	4.1735e-07
379.6	3.9761e-07
379.8	3.7881e-07
380.0	3.6089e-07
380.2	3.4383e-07
380.4	3.2757e-07
380.6	3.1208e-07
380.8	2.9732e-07
381.0	2.9762e-07
381.2	3.0925e-07
381.4	3.2134e-07
381.6	3.339e-07
381.8	3.4695e-07
382.0	3.6051e-07
382.2	3.746e-07
382.4	3.8924e-07
382.6	4.0445e-07
382.8	3.9429e-07
383.0	3.2348e-07
383.2	2.6539e-07
383.4	2.1773e-07
383.6	1.7863e-07
383.8	1.4655e-07
384.0	1.2024e-07
384.2	9.8645e-08
384.4	8.093e-08
384.6	6.6397e-08
384.8	9.8089e-08
385.0	1.4711e-07
385.2	2.2063e-07
385.4	3.3089e-07
385.6	4.9626e-07
385.8	7.4427e-07
386.0	1.1162e-06
386.2	1.6741e-06
386.4	2.5107e-06
386.6	2.8312e-06
386.8	2.8002e-06
387.0	2.7696e-06
387.2	2.7392e-06
387.4	2.7092e-06
387.6	2.6796e-06
387.8	2.6503e-06
388.0	2.6212e-06
388.2	2.5925e-06
388.4	2.5783e-06
388.6	2.5865e-06
388.8	2.5946e-06
389.0	2.6027e-06
389.2	2.6109e-06
389.4	2.6191e-06
389.6	2.6274e-06
389.8	2.6356e-06
390.0	2.6439e-06
390.2	2.713e-06
390.4	3.4138e-06
390.6	4.2957e-06
390.8	5.4054e-06
391.0	6.8017e-06
391.2	8.5587e-06
391.4	1.077e-05
391.6	1.3552e-05
391.8	1.7052e-05
392.0	2.1457e-05
392.2	2.2557e-05
392.4	2.3713e-05
392.6	2.4928e-05
392.8	2.6205e-05
393.0	2.2872e-05
393.2	1.6926e-05
393.4	1.2526e-05
393.6	9.2696e-06
