Typical Measured Spectrum of Semrock FF01-698/70 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)

190.0	1.0e-07
190.2	1.0e-07
190.4	1.0e-07
190.6	1.0e-07
190.8	1.0e-07
191.0	1.0e-07
191.2	1.0e-07
191.4	1.0e-07
191.6	1.0e-07
191.8	1.0e-07
192.0	1.0e-07
192.2	1.0e-07
192.4	1.0e-07
192.6	1.0e-07
192.8	1.0e-07
193.0	1.0e-07
193.2	1.0e-07
193.4	1.0e-07
193.6	1.0e-07
193.8	1.0e-07
194.0	1.0e-07
194.2	1.0e-07
194.4	1.0e-07
194.6	1.0e-07
194.8	1.0e-07
195.0	1.0e-07
195.2	1.0e-07
195.4	1.0e-07
195.6	1.0e-07
195.8	1.0e-07
196.0	1.0e-07
196.2	1.0e-07
196.4	1.0e-07
196.6	1.0e-07
196.8	1.0e-07
197.0	1.0e-07
197.2	1.0e-07
197.4	1.0e-07
197.6	1.0e-07
197.8	1.0e-07
198.0	1.0e-07
198.2	1.0e-07
198.4	1.0e-07
198.6	1.0e-07
198.8	1.0e-07
199.0	1.0e-07
199.2	1.0e-07
199.4	1.0e-07
199.6	1.0e-07
199.8	1.0e-07
200.0	1.0e-07
200.2	1.0e-07
200.4	1.0e-07
200.6	1.0e-07
200.8	1.0e-07
201.0	1.0e-07
201.2	1.0e-07
201.4	1.0e-07
201.6	1.0e-07
201.8	1.0e-07
202.0	1.0e-07
202.2	1.0e-07
202.4	1.0e-07
202.6	1.0e-07
202.8	1.0e-07
203.0	1.0e-07
203.2	1.0e-07
203.4	1.0e-07
203.6	1.0e-07
203.8	1.0e-07
204.0	1.0e-07
204.2	1.0e-07
204.4	1.0e-07
204.6	1.0e-07
204.8	1.0e-07
205.0	1.0e-07
205.2	1.0e-07
205.4	1.0e-07
205.6	1.0e-07
205.8	1.0e-07
206.0	1.0e-07
206.2	1.0e-07
206.4	1.0e-07
206.6	1.0e-07
206.8	1.0e-07
207.0	1.0e-07
207.2	1.0e-07
207.4	1.0e-07
207.6	1.0e-07
207.8	1.0e-07
208.0	1.0e-07
208.2	1.0e-07
208.4	1.0e-07
208.6	1.0e-07
208.8	1.0e-07
209.0	1.0e-07
209.2	1.0e-07
209.4	1.0e-07
209.6	1.0e-07
209.8	1.0e-07
210.0	1.0e-07
210.2	1.0e-07
210.4	1.0e-07
210.6	1.0e-07
210.8	1.0e-07
211.0	1.0e-07
211.2	1.0e-07
211.4	1.0e-07
211.6	1.0e-07
211.8	1.0e-07
212.0	1.0e-07
212.2	1.0e-07
212.4	1.0e-07
212.6	1.0e-07
212.8	1.0e-07
213.0	1.0e-07
213.2	1.0e-07
213.4	1.0e-07
213.6	1.0e-07
213.8	1.0e-07
214.0	1.0e-07
214.2	1.0e-07
214.4	1.0e-07
214.6	1.0e-07
214.8	1.0e-07
215.0	1.0e-07
215.2	1.0e-07
215.4	1.0e-07
215.6	1.0e-07
215.8	1.0e-07
216.0	1.0e-07
216.2	1.0e-07
216.4	1.0e-07
216.6	1.0e-07
216.8	1.0e-07
217.0	1.0e-07
217.2	1.0e-07
217.4	1.0e-07
217.6	1.0e-07
217.8	1.0e-07
218.0	1.0e-07
218.2	1.0e-07
218.4	1.0e-07
218.6	1.0e-07
218.8	1.0e-07
219.0	1.0e-07
219.2	1.0e-07
219.4	1.0e-07
219.6	1.0e-07
219.8	1.0e-07
220.0	1.0e-07
220.2	1.0e-07
220.4	1.0e-07
220.6	1.0e-07
220.8	1.0e-07
221.0	1.0e-07
221.2	1.0e-07
221.4	1.0e-07
221.6	1.0e-07
221.8	1.0e-07
222.0	1.0e-07
222.2	1.0e-07
222.4	1.0e-07
222.6	1.0e-07
222.8	1.0e-07
223.0	1.0e-07
223.2	1.0e-07
223.4	1.0e-07
223.6	1.0e-07
223.8	1.0e-07
224.0	1.0e-07
224.2	1.0e-07
224.4	1.0e-07
224.6	1.0e-07
224.8	1.0e-07
225.0	1.0e-07
225.2	1.0e-07
225.4	1.0e-07
225.6	1.0e-07
225.8	1.0e-07
226.0	1.0e-07
226.2	1.0e-07
226.4	1.0e-07
226.6	1.0e-07
226.8	1.0e-07
227.0	1.0e-07
227.2	1.0e-07
227.4	1.0e-07
227.6	1.0e-07
227.8	1.0e-07
228.0	1.0e-07
228.2	1.0e-07
228.4	1.0e-07
228.6	1.0e-07
228.8	1.0e-07
229.0	1.0e-07
229.2	1.0e-07
229.4	1.0e-07
229.6	1.0e-07
229.8	1.0e-07
230.0	1.0e-07
230.2	1.0e-07
230.4	1.0e-07
230.6	1.0e-07
230.8	1.0e-07
231.0	1.0e-07
231.2	1.0e-07
231.4	1.0e-07
231.6	1.0e-07
231.8	1.0e-07
232.0	1.0e-07
232.2	1.0e-07
232.4	1.0e-07
232.6	1.0e-07
232.8	1.0e-07
233.0	1.0e-07
233.2	1.0e-07
233.4	1.0e-07
233.6	1.0e-07
233.8	1.0e-07
234.0	1.0e-07
234.2	1.0e-07
234.4	1.0e-07
234.6	1.0e-07
234.8	1.0e-07
235.0	1.0e-07
235.2	1.0e-07
235.4	1.0e-07
235.6	1.0e-07
235.8	1.0e-07
236.0	1.0e-07
236.2	1.0e-07
236.4	1.0e-07
236.6	1.0e-07
236.8	1.0e-07
237.0	1.0e-07
237.2	1.0e-07
237.4	1.0e-07
237.6	1.0e-07
237.8	1.0e-07
238.0	1.0e-07
238.2	1.0e-07
238.4	1.0e-07
238.6	1.0e-07
238.8	1.0e-07
239.0	1.0e-07
239.2	1.0e-07
239.4	1.0e-07
239.6	1.0e-07
239.8	1.0e-07
240.0	1.0e-07
240.2	1.0e-07
240.4	1.0e-07
240.6	1.0e-07
240.8	1.0e-07
241.0	1.0e-07
241.2	1.0e-07
241.4	1.0e-07
241.6	1.0e-07
241.8	1.0e-07
242.0	1.0e-07
242.2	1.0e-07
242.4	1.0e-07
242.6	1.0e-07
242.8	1.0e-07
243.0	1.0e-07
243.2	1.0e-07
243.4	1.0e-07
243.6	1.0e-07
243.8	1.0e-07
244.0	1.0e-07
244.2	1.0e-07
244.4	1.0e-07
244.6	1.0e-07
244.8	1.0e-07
245.0	1.0e-07
245.2	1.0e-07
245.4	1.0e-07
245.6	1.0e-07
245.8	1.0e-07
246.0	1.0e-07
246.2	1.0e-07
246.4	1.0e-07
246.6	1.0e-07
246.8	1.0e-07
247.0	1.0e-07
247.2	1.0e-07
247.4	1.0e-07
247.6	1.0e-07
247.8	1.0e-07
248.0	1.0e-07
248.2	1.0e-07
248.4	1.0e-07
248.6	1.0e-07
248.8	1.0e-07
249.0	1.0e-07
249.2	1.0e-07
249.4	1.0e-07
249.6	1.0e-07
249.8	1.0e-07
250.0	1.0e-07
250.2	1.0e-07
250.4	1.0e-07
250.6	1.0e-07
250.8	1.0e-07
251.0	1.0e-07
251.2	1.0e-07
251.4	1.0e-07
251.6	1.0e-07
251.8	1.0e-07
252.0	1.0e-07
252.2	1.0e-07
252.4	1.0e-07
252.6	1.0e-07
252.8	1.0e-07
253.0	1.0e-07
253.2	1.0e-07
253.4	1.0e-07
253.6	1.0e-07
253.8	1.0e-07
254.0	1.0e-07
254.2	1.0e-07
254.4	1.0e-07
254.6	1.0e-07
254.8	1.0e-07
255.0	1.0e-07
255.2	1.0e-07
255.4	1.0e-07
255.6	1.0e-07
255.8	1.0e-07
256.0	1.0e-07
256.2	1.0e-07
256.4	1.0e-07
256.6	1.0e-07
256.8	1.0e-07
257.0	1.0e-07
257.2	1.0e-07
257.4	1.0e-07
257.6	1.0e-07
257.8	1.0e-07
258.0	1.0e-07
258.2	1.0e-07
258.4	1.0e-07
258.6	1.0e-07
258.8	1.0e-07
259.0	1.0e-07
259.2	1.0e-07
259.4	1.0e-07
259.6	1.0e-07
259.8	1.0e-07
260.0	1.0e-07
260.2	1.0e-07
260.4	1.0e-07
260.6	1.0e-07
260.8	1.0e-07
261.0	1.0e-07
261.2	1.0e-07
261.4	1.0e-07
261.6	1.0e-07
261.8	1.0e-07
262.0	1.0e-07
262.2	1.0e-07
262.4	1.0e-07
262.6	1.0e-07
262.8	1.0e-07
263.0	1.0e-07
263.2	1.0e-07
263.4	1.0e-07
263.6	1.0e-07
263.8	1.0e-07
264.0	1.0e-07
264.2	1.0e-07
264.4	1.0e-07
264.6	1.0e-07
264.8	1.0e-07
265.0	1.0e-07
265.2	1.0e-07
265.4	1.0e-07
265.6	1.0e-07
265.8	1.0e-07
266.0	1.0e-07
266.2	1.0e-07
266.4	1.0e-07
266.6	1.0e-07
266.8	1.0e-07
267.0	1.0e-07
267.2	1.0e-07
267.4	1.0e-07
267.6	1.0e-07
267.8	1.0e-07
268.0	1.0e-07
268.2	1.0e-07
268.4	1.0e-07
268.6	1.0e-07
268.8	1.0e-07
269.0	1.0e-07
269.2	1.0e-07
269.4	1.0e-07
269.6	1.0e-07
269.8	1.0e-07
270.0	1.0e-07
270.2	1.0e-07
270.4	1.0e-07
270.6	1.0e-07
270.8	1.0e-07
271.0	1.0e-07
271.2	1.0e-07
271.4	1.0e-07
271.6	1.0e-07
271.8	1.0e-07
272.0	1.0e-07
272.2	1.0e-07
272.4	1.0e-07
272.6	1.0e-07
272.8	1.0e-07
273.0	1.0e-07
273.2	1.0e-07
273.4	1.0e-07
273.6	1.0e-07
273.8	1.0e-07
274.0	1.0e-07
274.2	1.0e-07
274.4	1.0e-07
274.6	1.0e-07
274.8	1.0e-07
275.0	1.0e-07
275.2	1.0e-07
275.4	1.0e-07
275.6	1.0e-07
275.8	1.0e-07
276.0	1.0e-07
276.2	1.0e-07
276.4	1.0e-07
276.6	1.0e-07
276.8	1.0e-07
277.0	1.0e-07
277.2	1.0e-07
277.4	1.0e-07
277.6	1.0e-07
277.8	1.0e-07
278.0	1.0e-07
278.2	1.0e-07
278.4	1.0e-07
278.6	1.0e-07
278.8	1.0e-07
279.0	1.0e-07
279.2	1.0e-07
279.4	1.0e-07
279.6	1.0e-07
279.8	1.0e-07
280.0	1.0e-07
280.2	1.0e-07
280.4	1.0e-07
280.6	1.0e-07
280.8	1.0e-07
281.0	1.0e-07
281.2	1.0e-07
281.4	1.0e-07
281.6	1.0e-07
281.8	1.0e-07
282.0	1.0e-07
282.2	1.0e-07
282.4	1.0e-07
282.6	1.0e-07
282.8	1.0e-07
283.0	1.0e-07
283.2	1.0e-07
283.4	1.0e-07
283.6	1.0e-07
283.8	1.0e-07
284.0	1.0e-07
284.2	1.0e-07
284.4	1.0e-07
284.6	1.0e-07
284.8	1.0e-07
285.0	1.0e-07
285.2	1.0e-07
285.4	1.0e-07
285.6	1.0e-07
285.8	1.0e-07
286.0	1.0e-07
286.2	1.0e-07
286.4	1.0e-07
286.6	1.0e-07
286.8	1.0e-07
287.0	1.0e-07
287.2	1.0e-07
287.4	1.0e-07
287.6	1.0e-07
287.8	1.0e-07
288.0	1.0e-07
288.2	1.0e-07
288.4	1.0e-07
288.6	1.0e-07
288.8	1.0e-07
289.0	1.0e-07
289.2	1.0e-07
289.4	1.0e-07
289.6	1.0e-07
289.8	1.0e-07
290.0	1.0e-07
290.2	1.0e-07
290.4	1.0e-07
290.6	1.0e-07
290.8	1.0e-07
291.0	1.0e-07
291.2	1.0e-07
291.4	1.0e-07
291.6	1.0e-07
291.8	1.0e-07
292.0	1.0e-07
292.2	1.0e-07
292.4	1.0e-07
292.6	1.0e-07
292.8	1.0e-07
293.0	1.0e-07
293.2	1.0e-07
293.4	1.0e-07
293.6	1.0e-07
293.8	1.0e-07
294.0	1.0e-07
294.2	1.0e-07
294.4	1.0e-07
294.6	1.0e-07
294.8	1.0e-07
295.0	1.0e-07
295.2	1.0e-07
295.4	1.0e-07
295.6	1.0e-07
295.8	1.0e-07
296.0	1.0e-07
296.2	1.0e-07
296.4	1.0e-07
296.6	1.0e-07
296.8	1.0e-07
297.0	1.0e-07
297.2	1.0e-07
297.4	1.0e-07
297.6	1.0e-07
297.8	1.0e-07
298.0	1.0e-07
298.2	1.0e-07
298.4	1.0e-07
298.6	1.0e-07
298.8	1.0e-07
299.0	1.0e-07
299.2	1.0e-07
299.4	1.0e-07
299.6	1.0e-07
299.8	1.0e-07
300.0	1.0e-07
300.2	1.0e-07
300.4	1.0e-07
300.6	1.0e-07
300.8	1.0e-07
301.0	1.0e-07
301.2	1.0e-07
301.4	1.0e-07
301.6	1.0e-07
301.8	1.0e-07
302.0	1.0e-07
302.2	1.0e-07
302.4	1.0e-07
302.6	1.0e-07
302.8	1.0e-07
303.0	1.0e-07
303.2	1.0e-07
303.4	1.0e-07
303.6	1.0e-07
303.8	1.0e-07
304.0	1.0e-07
304.2	1.0e-07
304.4	1.0e-07
304.6	1.0e-07
304.8	1.0e-07
305.0	1.0e-07
305.2	1.0e-07
305.4	1.0e-07
305.6	1.0e-07
305.8	1.0e-07
306.0	1.0e-07
306.2	1.0e-07
306.4	1.0e-07
306.6	1.0e-07
306.8	1.0e-07
307.0	1.0e-07
307.2	1.0e-07
307.4	1.0e-07
307.6	1.0e-07
307.8	1.0e-07
308.0	1.0e-07
308.2	1.0e-07
308.4	1.0e-07
308.6	1.0e-07
308.8	1.0e-07
309.0	1.0e-07
309.2	1.0e-07
309.4	1.0e-07
309.6	1.0e-07
309.8	1.0e-07
310.0	1.0e-07
310.2	1.0e-07
310.4	1.0e-07
310.6	1.0e-07
310.8	1.0e-07
311.0	1.0e-07
311.2	1.0e-07
311.4	1.0e-07
311.6	1.0e-07
311.8	1.0e-07
312.0	1.0e-07
312.2	1.0e-07
312.4	1.0e-07
312.6	1.0e-07
312.8	1.0e-07
313.0	1.0e-07
313.2	1.0e-07
313.4	1.0e-07
313.6	1.0e-07
313.8	1.0e-07
314.0	1.0e-07
314.2	1.0e-07
314.4	1.0e-07
314.6	1.0e-07
314.8	1.0e-07
315.0	1.0e-07
315.2	1.0e-07
315.4	1.0e-07
315.6	1.0e-07
315.8	1.0e-07
316.0	1.0e-07
316.2	1.0e-07
316.4	1.0e-07
316.6	1.0e-07
316.8	1.0e-07
317.0	1.0e-07
317.2	1.0e-07
317.4	1.0e-07
317.6	1.0e-07
317.8	1.0e-07
318.0	1.0e-07
318.2	1.0e-07
318.4	1.0e-07
318.6	1.0e-07
318.8	1.0e-07
319.0	1.0e-07
319.2	1.0e-07
319.4	1.0e-07
319.6	1.0e-07
319.8	1.0e-07
320.0	1.0e-07
320.2	1.0e-07
320.4	1.0e-07
320.6	1.0e-07
320.8	1.0e-07
321.0	1.0e-07
321.2	1.0e-07
321.4	1.0e-07
321.6	1.0e-07
321.8	1.0e-07
322.0	1.0e-07
322.2	1.0e-07
322.4	1.0e-07
322.6	1.0e-07
322.8	1.0e-07
323.0	1.0e-07
323.2	1.0e-07
323.4	1.0e-07
323.6	1.0e-07
323.8	1.0e-07
324.0	1.0e-07
