Typical Measured Spectrum of Semrock Di02-R532 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
345	0.000772283737968467
345.058	0.000718367357242277
345.142	0.00068478130634605
345.227	0.000680575276084081
345.312	0.000614112728335881
345.396	0.000716385443779083
345.481	0.000635004447505186
345.565	0.00060535240204591
345.65	0.000693159340156834
345.734	0.000805854431468732
345.819	0.000779352949269263
345.903	0.000625613479848396
345.988	0.000664781978350525
346.072	0.000586877396567674
346.157	0.000748493571820443
346.241	0.000807213290238726
346.326	0.000729732388165618
346.41	0.000725995252738388
346.495	0.0008291401543325
346.579	0.000709851772248899
346.664	0.000718983694407572
346.748	0.000837898174736292
346.833	0.000794663293301287
346.917	0.000677770716964595
347.002	0.000736640970492033
347.087	0.000716574557793007
347.171	0.000705610838997655
347.256	0.000640868032544915
347.34	0.000683296191001929
347.425	0.000643912699190559
347.509	0.000657219620400061
347.594	0.00066959753390745
347.678	0.000751636338310495
347.763	0.000740863079076923
347.847	0.000729887703734675
347.932	0.000794368540994181
348.016	0.000755192863100004
348.101	0.000785996298207201
348.185	0.00082569243185954
348.27	0.000900800501691877
348.354	0.000803847660016046
348.439	0.000904002434680129
348.523	0.000828327742867857
348.608	0.000965903710544272
348.692	0.000816110386266995
348.777	0.000912805433516609
348.861	0.000841069199065177
348.946	0.000964465589994072
349.03	0.000849627594402828
349.115	0.000894969319141639
349.199	0.00081621564225846
349.284	0.000880885836758997
349.368	0.00090910995022018
349.453	0.000971344353484294
349.537	0.000998807402769957
349.621	0.000919190686405557
349.706	0.00102047040921847
349.79	0.000991510659648365
349.875	0.000949318967169386
349.959	0.000903640872114052
350.044	0.00102536272431895
350.128	0.00115392182945913
350.213	0.00124737292622246
350.297	0.0011743002294339
350.382	0.00133035415203936
350.466	0.00144600396174128
350.551	0.0013548310984821
350.635	0.00145302356122489
350.72	0.00142659108005263
350.804	0.00141150506752701
350.889	0.0015818287131551
350.973	0.00141885148206106
351.058	0.00132778116827332
351.142	0.00144381128814147
351.226	0.00146607842086843
351.311	0.00145875064670602
351.395	0.00140921386097694
351.48	0.00136386057427922
351.564	0.0012893289391189
351.649	0.00134612964171394
351.733	0.00135665101396524
351.818	0.00149120881719306
351.902	0.00166119342928505
351.987	0.00162573141396672
352.071	0.00181078215222841
352.155	0.00197722833928717
352.24	0.00223732745751847
352.324	0.00235558683486299
352.409	0.00279079119545388
352.493	0.00295964203817257
352.578	0.00347670712203908
352.662	0.00385517513113681
352.747	0.00416881254096598
352.831	0.00431412170390848
352.915	0.00452633080968444
353	0.00489213925593379
353.084	0.00475080155372147
353.169	0.00491031972726549
353.253	0.00461972897870215
353.338	0.00456557796744924
353.422	0.00429765830532286
353.507	0.00432089674603347
353.591	0.00393332203588178
353.675	0.00401433427685736
353.76	0.00412988858082392
353.844	0.0041958297563129
353.929	0.00453611206653548
354.013	0.00469358200263585
354.098	0.00498590143358906
354.182	0.00529905980564426
354.266	0.00598532960633986
354.351	0.00626068140531519
354.435	0.0071728803204979
354.52	0.00782107874765541
354.604	0.00832961344194321
354.688	0.00890408966513689
354.773	0.00916226576746555
354.857	0.0093577562593548
354.942	0.00961087645873946
355.026	0.00913164986487968
355.111	0.00863049776275105
355.195	0.0082530577650479
355.279	0.00764811091075036
355.364	0.00711344127600416
355.448	0.00666279212683835
355.533	0.00643497262173845
355.617	0.00609824569795479
355.701	0.00577667966737647
355.786	0.00560205981806075
355.87	0.00565251592558048
355.955	0.00558730225701942
356.039	0.00550319033643849
356.123	0.00562369460388736
356.208	0.00567192535159017
356.292	0.00573403549354546
356.377	0.00590284264223862
356.461	0.00620237636526391
356.545	0.00602142558022519
356.63	0.0061881860423183
356.714	0.00627665229621045
356.799	0.00614662505869428
356.883	0.00640250390606727
356.967	0.00625162173657077
357.052	0.00609730345817759
357.136	0.00622988221063115
357.221	0.00603982653751184
357.305	0.00612019962639006
357.389	0.00603645056557205
357.474	0.00580996234928921
357.558	0.00571287788991451
357.642	0.00581157449023854
357.727	0.00550806770077661
357.811	0.00576150936769987
357.896	0.0056811161283512
357.98	0.00539328740816788
358.064	0.00516286631551617
358.149	0.00514460652880983
358.233	0.00494836083296115
358.317	0.00465622297040093
358.402	0.00466896406027576
358.486	0.00439215949286112
358.571	0.00412489310306717
358.655	0.00403491290678556
358.739	0.00367426483875025
358.824	0.003674074144685
358.908	0.00347180107728656
358.992	0.00334835059883988
359.077	0.0033123160647715
359.161	0.00312752606440125
359.246	0.0030767638292882
359.33	0.00325263609976286
359.414	0.00339684773840456
359.499	0.00332810318519809
359.583	0.00366044549268082
359.667	0.0039676847846254
359.752	0.00426536543684122
359.836	0.00444142758818746
359.92	0.00471134380041765
360.005	0.00518153871751732
360.089	0.00531011382695342
360.173	0.0055440673740983
360.258	0.00564162133622364
360.342	0.00562711028964022
360.426	0.00530763589178785
360.511	0.00478783409177658
360.595	0.00454722321578471
360.679	0.00401243836405605
360.764	0.00359318088840386
360.848	0.00308176878940387
360.933	0.00265235534715419
361.017	0.00234178339989023
361.101	0.00216782214592084
361.186	0.00204836866991616
361.27	0.00180231800116873
361.354	0.00172317820746329
361.439	0.00165205797942892
361.523	0.00161738514797071
361.607	0.00161694762994804
361.692	0.00161763910107545
361.776	0.00157552124107729
361.86	0.00171505807575647
361.944	0.00180378060282808
362.029	0.00189198273433024
362.113	0.00209982122360276
362.197	0.00247463131754517
362.282	0.00282791842513873
362.366	0.00321189358386071
362.45	0.00356624339988368
362.535	0.00417180961101236
362.619	0.00438444314028066
362.703	0.00488928661123455
362.788	0.00498269641366737
362.872	0.00493938118267825
362.956	0.00483890992769287
363.041	0.00445765642574165
363.125	0.00431540053486655
363.209	0.00378530737468922
363.294	0.00306262255718296
363.378	0.00270592551626019
363.462	0.00231538589090263
363.547	0.00219547952909105
363.631	0.0018930604358008
363.715	0.00163305182476244
363.799	0.001658805406789
363.884	0.00154216545666211
363.968	0.00144853968172341
364.052	0.00149354155111213
364.137	0.00152240385599543
364.221	0.00142572745034715
364.305	0.00143879455005061
364.39	0.00154243245077782
364.474	0.00175697316127935
364.558	0.00201148984300558
364.642	0.00225615705067008
364.727	0.00248815763361027
364.811	0.00284247700124539
364.895	0.00365498686507004
364.98	0.00398577593945607
365.003	0.00391420715625739
365.093	0.0045483767403523
365.178	0.00469567353340033
365.262	0.00490310930636683
365.347	0.00477709846741307
365.431	0.00440958387059058
365.516	0.00406319770865914
365.6	0.00369541985667343
365.685	0.00335449262360322
365.769	0.002700114922104
365.853	0.00212468150340221
365.938	0.00170299271185366
366.022	0.00165505661864056
366.107	0.00137089780526286
366.191	0.00119711178169682
366.276	0.00119095227928362
366.36	0.0010555002962469
366.445	0.00098036036867131
366.529	0.000946788887406697
366.614	0.00100160628773136
366.698	0.000929307262015508
366.782	0.000967761462647275
366.867	0.00105219910496654
366.951	0.00102002120870045
367.036	0.00108559947974002
367.12	0.00134332060831811
367.205	0.00136059398272189
367.289	0.00146995604865526
367.374	0.0016358666507627
367.458	0.00179231891517321
367.542	0.0020277675602084
367.627	0.00232424864737429
367.711	0.0027160006775114
367.796	0.00306448137440633
367.88	0.00319718151860673
367.965	0.0031377314332978
368.049	0.00305312448997403
368.134	0.00256226284550467
368.218	0.00244407511761914
368.302	0.00223067203739158
368.387	0.00188424765665268
368.471	0.00157058120472522
368.556	0.00144586682015915
368.64	0.0011967558879086
368.725	0.00110086290317585
368.809	0.000991391731215977
368.893	0.000915978173882731
368.978	0.000782588849371712
369.062	0.000876757497053297
369.147	0.000911331407083516
369.231	0.000711050182002233
369.315	0.000762469169502367
369.4	0.000770227424864367
369.484	0.000795007791069446
369.569	0.000815444063462783
369.653	0.0008378399317121
369.738	0.000867502042551994
369.822	0.00104895321227692
369.906	0.00110767303658016
369.991	0.00134551306312836
370.075	0.00128647315805135
370.16	0.00142939059279217
370.244	0.00176957034932127
370.328	0.00187157815408685
370.413	0.00193583356458784
370.497	0.0019671441869112
370.582	0.00211266816476319
370.666	0.00202453496226789
370.75	0.00199698922594713
370.835	0.00197899890946382
370.919	0.00156898247914648
371.004	0.00139518952300554
371.088	0.00118785375267163
371.172	0.0011235784470458
371.257	0.000942121776574061
371.341	0.00098936739580941
371.426	0.000748695382679444
371.51	0.000851468149382087
371.594	0.000718776479015738
371.679	0.000598244692344751
371.763	0.000630401553347216
371.847	0.000594057465681423
371.932	0.000576862661231852
372.016	0.000586860658051793
372.101	0.000744043994920155
372.185	0.000637413073365024
372.269	0.000655662924003238
372.354	0.000708785226076986
372.438	0.000659034225864912
372.523	0.00079889861894142
372.607	0.000904994215929314
372.691	0.000835936578810702
372.776	0.000888029399244607
372.86	0.0010640038645463
372.944	0.00114282113411429
373.029	0.00129357676139417
373.113	0.00120629421614609
373.198	0.00139876530830786
373.282	0.00138332554670528
373.366	0.00142009657024474
373.451	0.00140217145926113
373.535	0.00129732861135005
373.619	0.0012575657944318
373.704	0.00113652155979376
373.788	0.000956142156826137
373.872	0.000882329652999254
373.957	0.00074812214534401
374.041	0.000756966367205031
374.125	0.000733453031588237
374.21	0.000545976228774033
374.294	0.000433352625530643
374.379	0.000593338668503497
374.463	0.000511167784769835
374.547	0.000528248465068531
374.632	0.000436769078378231
374.716	0.000481476540665831
374.8	0.000464235916974177
374.885	0.000480328259684001
374.969	0.000518520078576648
375.053	0.000524879085068908
375.138	0.000494534279754438
375.222	0.000492391192000971
375.306	0.000615445400834357
375.391	0.000604016157225357
375.475	0.000620681807227829
375.559	0.000715922749957104
375.644	0.000757084944747939
375.728	0.00079853898973667
375.812	0.000991953420190166
375.897	0.00110382779897234
375.981	0.00124370355217725
376.065	0.00139392256974158
376.15	0.00139149185241843
376.234	0.00152694818422169
376.318	0.00142089443092771
376.403	0.00144286426380229
376.487	0.00134469618411406
376.571	0.00132946925635302
376.656	0.00122581421154226
376.74	0.00103751131425275
376.824	0.000921203723825103
376.909	0.000872382104583421
376.993	0.000808088813382511
377.077	0.000569766619280695
377.162	0.000497472427831701
377.246	0.000495234909996654
377.33	0.000508741752753982
377.415	0.000464569378084471
377.499	0.000437958602227479
377.583	0.000486032061306316
377.668	0.000484379920301082
377.752	0.000406808777191206
377.836	0.000414040472774579
377.92	0.000452879059611301
378.005	0.000475133470551975
378.089	0.00045775416435798
378.173	0.000397616300199205
378.258	0.000445990151407789
378.342	0.000532934082871858
378.426	0.000416222395831882
378.511	0.000560728246654723
378.595	0.000605811115247975
378.679	0.000699220096658268
378.763	0.000807519815435505
378.848	0.00081751589566157
378.932	0.000917456241170267
379.016	0.00100635967733518
379.101	0.00119067867118208
379.185	0.00135760016769276
379.269	0.00158455789100157
379.354	0.00172568498770379
379.438	0.00190897118181067
379.522	0.00189503377409996
379.606	0.00193602317125879
379.691	0.0018429386041608
379.775	0.00179866427558993
379.859	0.00152210932306055
379.944	0.00146163840721629
380.028	0.0012632464832953
380.112	0.00109523941851847
380.196	0.00100227662868361
380.281	0.000859949452267665
380.365	0.000738152392085192
380.449	0.000735967642862246
380.533	0.000613282019812428
380.618	0.000640400680545201
380.702	0.000647051071609663
380.786	0.000572840121762478
380.871	0.000575898431434864
380.955	0.000525607001454824
381.039	0.000507592936519715
381.123	0.000556371885936008
381.208	0.000580255827924331
381.292	0.000562938703303701
381.376	0.000573348415160044
381.46	0.000676554056635925
381.545	0.00067900401722101
381.629	0.000762342123507243
381.713	0.00072780763314411
381.798	0.000866640517096138
381.882	0.000933895220921986
381.966	0.0010902440497444
382.05	0.00126598767245573
382.135	0.00142046943093946
382.219	0.0017027185392812
382.303	0.00195346298327309
382.387	0.00230089185470731
382.472	0.00260844426641255
382.556	0.00300165705958133
382.64	0.00328564736057631
382.724	0.00346059586638265
382.809	0.00355144856011769
382.893	0.00359644183367466
382.977	0.00339132814350408
383.061	0.00319009060302425
383.146	0.00287831872448264
383.23	0.00260731046383502
383.314	0.00225140160604536
383.398	0.00205888439826112
383.482	0.00178963932610316
383.567	0.00156138880216916
383.651	0.00141676199455836
383.735	0.00127869514802441
383.819	0.00119998301232548
383.904	0.00115167379870632
383.988	0.00107773692206208
384.072	0.00100594000429589
384.156	0.00106220162964489
384.241	0.00102824068567708
384.325	0.00106204560321067
384.409	0.00103530599732152
384.493	0.00110719728456857
384.577	0.00120351586921902
384.662	0.00125434131241284
384.746	0.00141433869064661
384.83	0.00157865044258351
384.914	0.00175098926767598
384.999	0.00192893606564765
385.083	0.00229231009484036
385.167	0.00279501280374465
385.251	0.00329999417018072
385.335	0.00407006020305314
385.42	0.00489056531579647
385.504	0.00588007856433371
385.588	0.00686162667358548
385.672	0.00783215370500929
385.757	0.00879254321394388
385.841	0.00955303564107529
385.925	0.00998570734800729
386.009	0.0103415499395777
386.093	0.00996902135056539
386.178	0.0097445254487389
386.262	0.00902720292257726
386.346	0.0083054910448496
386.43	0.00736534896331586
386.514	0.00661450798277229
386.599	0.0056177748712499
386.683	0.00514880561720234
386.767	0.00446233652396551
386.851	0.00415664804459661
386.935	0.00365616586097059
387.02	0.00349248926598825
387.104	0.00329282364454769
387.188	0.00312570151533674
387.272	0.00314611361479355
387.356	0.00326695025019376
387.44	0.00333117398032594
387.525	0.0035770695250034
387.609	0.00377551939585905
387.693	0.00405238368961443
387.777	0.00440673541549427
387.861	0.00512784791884798
387.946	0.00573666159111062
388.03	0.00655141711322639
388.114	0.00775452286724829
388.198	0.00876005707700505
388.282	0.0101797294703573
388.367	0.0115284553266489
388.451	0.0128186736021412
388.535	0.0138828990770177
388.619	0.0150074905783422
388.703	0.0156658838161746
388.787	0.0160378440635602
388.872	0.0160270439061801
388.956	0.0154118778621106
389.04	0.0146726208100365
389.124	0.0136755934241549
389.208	0.0126386756171304
389.292	0.0110506889291717
389.377	0.00987494445355483
389.461	0.00861867690171426
389.545	0.00779720464585518
389.629	0.00689151316746879
389.713	0.00623658826725474
389.797	0.00585637460453453
389.882	0.00531696512451549
389.966	0.00518189159874739
390.05	0.00496192879870658
390.134	0.00489281842515322
390.218	0.0049794690450668
390.302	0.00502046436451235
390.386	0.00517307270985584
390.471	0.00528410931390698
390.555	0.00573799515791795
390.639	0.00612087214458364
390.723	0.00654147487568478
390.807	0.00723834366812872
390.891	0.00811913331139855
390.975	0.00926704059551632
391.06	0.00991871460069763
391.144	0.0107493730854724
391.228	0.0119161226294456
391.312	0.0129101603663461
391.396	0.0135803138495095
391.48	0.0141147618689158
391.564	0.0140428109837074
391.649	0.0137425186547472
391.733	0.0134367359269586
391.817	0.0126064034287514
391.901	0.011964479632742
391.985	0.0107120319826433
392.003	0.0108070845409516
392.094	0.00976205090488919
392.178	0.0088778976685039
392.263	0.00770138893212569
392.347	0.00710276690817382
392.431	0.00607566502420243
392.516	0.00554064483563582
392.6	0.00517280400065036
392.684	0.00443716311047262
