Typical Measured Spectrum of Semrock FF01-562/40 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
270.0	1.717e-06
270.2	1.6266e-06
270.4	1.5409e-06
270.6	1.4597e-06
270.8	1.3828e-06
271.0	1.3099e-06
271.2	1.2409e-06
271.4	1.1755e-06
271.6	1.1136e-06
271.8	1.0549e-06
272.0	9.9933e-07
272.2	9.4667e-07
272.4	8.968e-07
272.6	8.4954e-07
272.8	9.0548e-07
273.0	1.0406e-06
273.2	1.196e-06
273.4	1.3745e-06
273.6	1.5797e-06
273.8	1.8155e-06
274.0	2.0865e-06
274.2	2.398e-06
274.4	2.7559e-06
274.6	3.1673e-06
274.8	3.6402e-06
275.0	4.1835e-06
275.2	4.0111e-06
275.4	3.8457e-06
275.6	3.6872e-06
275.8	3.5352e-06
276.0	3.3894e-06
276.2	3.2497e-06
276.4	3.1158e-06
276.6	2.9873e-06
276.8	2.8642e-06
277.0	2.7461e-06
277.2	2.6329e-06
277.4	2.5243e-06
277.6	2.4203e-06
277.8	2.4918e-06
278.0	2.6468e-06
278.2	2.8115e-06
278.4	2.9865e-06
278.6	3.1723e-06
278.8	3.3697e-06
279.0	3.5794e-06
279.2	3.8021e-06
279.4	4.0387e-06
279.6	4.29e-06
279.8	4.557e-06
280.0	4.8405e-06
280.2	5.1417e-06
280.4	5.4617e-06
280.6	5.8015e-06
280.8	6.1625e-06
281.0	6.546e-06
281.2	6.9533e-06
281.4	7.386e-06
281.6	7.8456e-06
281.8	8.085e-06
282.0	8.2728e-06
282.2	8.465e-06
282.4	8.6616e-06
282.6	8.8628e-06
282.8	9.0686e-06
283.0	9.2793e-06
283.2	9.4948e-06
283.4	9.7153e-06
283.6	9.941e-06
283.8	1.0172e-05
284.0	1.0408e-05
284.2	1.065e-05
284.4	1.0897e-05
284.6	1.115e-05
284.8	1.1409e-05
285.0	1.1674e-05
285.2	1.1945e-05
285.4	1.2223e-05
285.6	1.2507e-05
285.8	1.1428e-05
286.0	1.036e-05
286.2	9.3921e-06
286.4	8.5145e-06
286.6	7.7189e-06
286.8	6.9977e-06
287.0	6.3439e-06
287.2	5.7511e-06
287.4	5.2138e-06
287.6	4.7266e-06
287.8	4.285e-06
288.0	3.8846e-06
288.2	3.5217e-06
288.4	3.1926e-06
288.6	2.8943e-06
288.8	2.6239e-06
289.0	2.3787e-06
289.2	2.1565e-06
289.4	1.955e-06
289.6	1.7732e-06
289.8	1.6202e-06
290.0	1.4804e-06
290.2	1.3527e-06
290.4	1.236e-06
290.6	1.1293e-06
290.8	1.0319e-06
291.0	9.4285e-07
291.2	8.615e-07
291.4	7.8717e-07
291.6	7.1925e-07
291.8	6.5719e-07
292.0	6.0048e-07
292.2	5.4867e-07
292.4	5.0133e-07
292.6	4.5807e-07
292.8	4.1855e-07
293.0	3.8244e-07
293.2	3.4944e-07
293.4	3.1929e-07
293.6	2.8991e-07
293.8	2.5691e-07
294.0	2.2767e-07
294.2	2.0175e-07
294.4	1.7878e-07
294.6	1.5843e-07
294.8	1.404e-07
295.0	1.2441e-07
295.2	1.2234e-07
295.4	1.2031e-07
295.6	1.1858e-07
295.8	1.1732e-07
296.0	1.1607e-07
296.2	1.1484e-07
296.4	1.1362e-07
296.6	1.1242e-07
296.8	1.1123e-07
297.0	1.1005e-07
297.2	1.0888e-07
297.4	1.0772e-07
297.6	1.0658e-07
297.8	1.0545e-07
298.0	1.0433e-07
298.2	1.0322e-07
298.4	1.0213e-07
298.6	1.0105e-07
298.8	9.9973e-08
299.0	9.8913e-08
299.2	9.7863e-08
299.4	9.6825e-08
299.6	9.691e-08
299.8	1.09e-07
300.0	1.226e-07
300.2	1.379e-07
300.4	1.5511e-07
300.6	1.7446e-07
300.8	1.9623e-07
301.0	2.2071e-07
301.2	2.4826e-07
301.4	2.7923e-07
301.6	3.1407e-07
301.8	3.5326e-07
302.0	3.9734e-07
302.2	4.4692e-07
302.4	5.0268e-07
302.6	5.6541e-07
302.8	6.3596e-07
303.0	7.1531e-07
303.2	8.0456e-07
303.4	9.0496e-07
303.6	1.0179e-06
303.8	9.6317e-07
304.0	8.7519e-07
304.2	7.9525e-07
304.4	7.2262e-07
304.6	6.5661e-07
304.8	5.9664e-07
305.0	5.4214e-07
305.2	4.5955e-07
305.4	3.8954e-07
305.6	3.3019e-07
305.8	2.7989e-07
306.0	2.3725e-07
306.2	2.011e-07
306.4	1.7046e-07
306.6	1.4449e-07
306.8	1.271e-07
307.0	1.2269e-07
307.2	1.1843e-07
307.4	1.1431e-07
307.6	1.1035e-07
307.8	1.0651e-07
308.0	1.0282e-07
308.2	9.9245e-08
308.4	9.5799e-08
308.6	9.2472e-08
308.8	8.9261e-08
309.0	8.6162e-08
309.2	8.317e-08
309.4	8.0282e-08
309.6	7.7494e-08
309.8	7.4803e-08
310.0	7.2206e-08
310.2	6.9698e-08
310.4	6.7278e-08
310.6	6.4942e-08
310.8	6.2687e-08
311.0	6.2228e-08
311.2	6.1883e-08
311.4	6.154e-08
311.6	6.1199e-08
311.8	6.086e-08
312.0	6.0523e-08
312.2	6.0187e-08
312.4	5.9853e-08
312.6	5.9522e-08
312.8	5.9192e-08
313.0	5.8864e-08
313.2	5.8537e-08
313.4	5.8213e-08
313.6	5.789e-08
313.8	5.7569e-08
314.0	5.725e-08
314.2	5.6933e-08
314.4	5.6617e-08
314.6	5.6304e-08
314.8	5.5992e-08
315.0	5.5706e-08
315.2	5.5439e-08
315.4	5.5173e-08
315.6	5.4908e-08
315.8	5.4644e-08
316.0	5.4382e-08
316.2	5.4121e-08
316.4	5.3861e-08
316.6	5.3603e-08
316.8	5.3345e-08
317.0	5.3089e-08
317.2	5.2835e-08
317.4	5.2581e-08
317.6	5.2329e-08
317.8	5.2077e-08
318.0	5.1827e-08
318.2	5.1579e-08
318.4	5.1331e-08
318.6	5.1085e-08
318.8	5.084e-08
319.0	5.0636e-08
319.2	5.0538e-08
319.4	5.044e-08
319.6	5.0343e-08
319.8	5.0245e-08
320.0	5.0148e-08
320.2	5.0052e-08
320.4	4.9955e-08
320.6	4.9858e-08
320.8	4.9762e-08
321.0	4.9666e-08
321.2	4.957e-08
321.4	4.9474e-08
321.6	4.9379e-08
321.8	4.9283e-08
322.0	4.9188e-08
322.2	4.9093e-08
322.4	4.8998e-08
322.6	4.8904e-08
322.8	4.8809e-08
323.0	4.8715e-08
323.2	4.8167e-08
323.4	4.7605e-08
323.6	4.705e-08
323.8	4.65e-08
324.0	4.5958e-08
324.2	4.5421e-08
324.4	4.4891e-08
324.6	4.4367e-08
324.8	4.3849e-08
325.0	4.3337e-08
325.2	4.2832e-08
325.4	4.2332e-08
325.6	4.1837e-08
325.8	4.1349e-08
326.0	4.0866e-08
326.2	4.0389e-08
326.4	3.9918e-08
326.6	3.9452e-08
326.8	3.8992e-08
327.0	3.8536e-08
327.2	3.8058e-08
327.4	3.757e-08
327.6	3.7087e-08
327.8	3.6612e-08
328.0	3.6142e-08
328.2	3.5678e-08
328.4	3.522e-08
328.6	3.4768e-08
328.8	3.4322e-08
329.0	3.3882e-08
329.2	3.3447e-08
329.4	3.3018e-08
329.6	3.2594e-08
329.8	3.2176e-08
330.0	3.1763e-08
330.2	3.1355e-08
330.4	3.0953e-08
330.6	3.0556e-08
330.8	3.0164e-08
331.0	2.9777e-08
331.2	2.9431e-08
331.4	2.9157e-08
331.6	2.8886e-08
331.8	2.8618e-08
332.0	2.8351e-08
332.2	2.8088e-08
332.4	2.7827e-08
332.6	2.7568e-08
332.8	2.7312e-08
333.0	2.7058e-08
333.2	2.6806e-08
333.4	2.6557e-08
333.6	2.631e-08
333.8	2.6065e-08
334.0	2.5823e-08
334.2	2.5583e-08
334.4	2.5345e-08
334.6	2.5109e-08
334.8	2.4876e-08
335.0	2.4644e-08
335.2	2.4414e-08
335.4	2.4168e-08
335.6	2.3925e-08
335.8	2.3685e-08
336.0	2.3446e-08
336.2	2.321e-08
336.4	2.2977e-08
336.6	2.2746e-08
336.8	2.2517e-08
337.0	2.229e-08
337.2	2.2066e-08
337.4	2.1844e-08
337.6	2.1624e-08
337.8	2.1407e-08
338.0	2.1191e-08
338.2	2.0978e-08
338.4	2.0767e-08
338.6	2.0558e-08
338.8	2.0351e-08
339.0	2.0146e-08
339.2	1.9944e-08
339.4	1.9765e-08
339.6	1.9595e-08
339.8	1.9426e-08
340.0	1.9259e-08
340.2	1.9093e-08
340.4	1.8928e-08
340.6	1.8765e-08
340.8	1.8604e-08
341.0	1.8443e-08
341.2	1.8285e-08
341.4	1.8127e-08
341.6	1.7971e-08
341.8	1.7816e-08
342.0	1.7663e-08
342.2	1.751e-08
342.4	1.7359e-08
342.6	1.721e-08
342.8	1.7062e-08
343.0	1.6915e-08
343.2	1.6769e-08
343.4	1.6664e-08
343.6	1.66e-08
343.8	1.6536e-08
344.0	1.6472e-08
344.2	1.6408e-08
344.4	1.6344e-08
344.6	1.6281e-08
344.8	1.6218e-08
345.0	1.6156e-08
345.2	1.6093e-08
345.4	1.6031e-08
345.6	1.5969e-08
345.8	1.5907e-08
346.0	1.5846e-08
346.2	1.5784e-08
346.4	1.5723e-08
346.6	1.5662e-08
346.8	1.5602e-08
347.0	1.5541e-08
347.2	1.5481e-08
347.4	1.5438e-08
347.6	1.5445e-08
347.8	1.5452e-08
348.0	1.546e-08
348.2	1.5467e-08
348.4	1.5474e-08
348.6	1.5482e-08
348.8	1.5489e-08
349.0	1.5496e-08
349.2	1.5504e-08
349.4	1.5511e-08
349.6	1.5518e-08
349.8	1.5526e-08
350.0	1.5533e-08
350.2	1.5541e-08
350.4	1.5548e-08
350.6	1.5555e-08
350.8	1.5563e-08
351.0	1.557e-08
351.2	1.5578e-08
351.4	1.5585e-08
351.6	1.554e-08
351.8	1.5494e-08
352.0	1.5448e-08
352.2	1.5402e-08
352.4	1.5357e-08
352.6	1.5311e-08
352.8	1.5266e-08
353.0	1.5221e-08
353.2	1.5176e-08
353.4	1.5131e-08
353.6	1.5086e-08
353.8	1.5042e-08
354.0	1.4997e-08
354.2	1.4953e-08
354.4	1.4909e-08
354.6	1.4865e-08
354.8	1.4821e-08
355.0	1.4777e-08
355.2	1.4733e-08
355.4	1.469e-08
355.6	1.4701e-08
355.8	1.4732e-08
356.0	1.4763e-08
356.2	1.4794e-08
356.4	1.4825e-08
356.6	1.4856e-08
356.8	1.4887e-08
357.0	1.4918e-08
357.2	1.4949e-08
357.4	1.4981e-08
357.6	1.5012e-08
357.8	1.5044e-08
358.0	1.5075e-08
358.2	1.5107e-08
358.4	1.5138e-08
358.6	1.517e-08
358.8	1.5202e-08
359.0	1.5234e-08
359.2	1.5266e-08
359.4	1.5298e-08
359.6	1.9833e-08
359.8	3.3098e-08
360.0	5.5233e-08
360.2	5.8966e-08
360.4	6.2952e-08
360.6	6.7206e-08
360.8	7.1749e-08
361.0	7.6598e-08
361.2	8.1775e-08
361.4	8.7302e-08
361.6	9.3202e-08
361.8	9.9501e-08
362.0	1.0623e-07
362.2	1.1341e-07
362.4	1.2107e-07
362.6	1.2925e-07
362.8	1.3799e-07
363.0	1.4526e-07
363.2	1.5236e-07
363.4	1.5981e-07
363.6	1.6763e-07
363.8	1.7582e-07
364.0	1.8442e-07
364.2	1.9344e-07
364.4	2.029e-07
364.6	2.1282e-07
364.8	2.2322e-07
365.0	2.3414e-07
365.2	2.4559e-07
365.4	2.576e-07
365.6	2.7019e-07
365.8	2.834e-07
366.0	2.9726e-07
366.2	3.1179e-07
366.4	3.2704e-07
366.6	3.4303e-07
366.8	3.598e-07
367.0	3.7004e-07
367.2	3.7397e-07
367.4	3.7795e-07
367.6	3.8197e-07
367.8	3.8603e-07
368.0	3.9014e-07
368.2	3.9429e-07
368.4	3.9848e-07
368.6	4.0272e-07
368.8	4.07e-07
369.0	4.1133e-07
369.2	4.157e-07
369.4	4.2013e-07
369.6	4.2459e-07
369.8	4.2911e-07
370.0	4.3367e-07
370.2	3.4244e-07
370.4	2.704e-07
370.6	2.1352e-07
370.8	1.686e-07
371.0	1.3313e-07
371.2	1.0512e-07
371.4	8.3008e-08
371.6	6.5546e-08
371.8	5.1757e-08
372.0	4.0869e-08
372.2	3.2271e-08
372.4	2.5482e-08
372.6	2.0121e-08
372.8	1.5888e-08
373.0	1.684e-08
373.2	1.9167e-08
373.4	2.1815e-08
373.6	2.483e-08
373.8	2.8261e-08
374.0	3.2167e-08
374.2	3.6612e-08
374.4	4.1671e-08
374.6	4.7429e-08
374.8	5.3984e-08
375.0	6.1444e-08
375.2	6.9935e-08
375.4	7.9599e-08
375.6	9.0599e-08
375.8	1.0312e-07
376.0	1.1737e-07
376.2	1.3359e-07
376.4	1.5205e-07
376.6	1.7306e-07
376.8	1.9697e-07
377.0	2.0248e-07
377.2	1.9149e-07
377.4	1.8109e-07
377.6	1.7127e-07
377.8	1.6197e-07
378.0	1.5318e-07
378.2	1.4486e-07
378.4	1.37e-07
378.6	1.2957e-07
378.8	1.2253e-07
379.0	1.1588e-07
379.2	1.0959e-07
379.4	1.0365e-07
379.6	9.802e-08
379.8	9.27e-08
380.0	8.7668e-08
380.2	9.6518e-08
380.4	1.0626e-07
380.6	1.1699e-07
380.8	1.2879e-07
381.0	1.4179e-07
381.2	1.5611e-07
381.4	1.7187e-07
381.6	1.8921e-07
381.8	2.0831e-07
382.0	2.2934e-07
382.2	2.5249e-07
382.4	2.7797e-07
382.6	3.0603e-07
382.8	3.3692e-07
383.0	3.4377e-07
383.2	3.4395e-07
383.4	3.4413e-07
383.6	3.4431e-07
383.8	3.4449e-07
384.0	3.4467e-07
384.2	3.4485e-07
384.4	3.4503e-07
384.6	3.4521e-07
384.8	3.4539e-07
385.0	3.4557e-07
385.2	3.4574e-07
385.4	3.4592e-07
385.6	3.461e-07
385.8	3.4628e-07
386.0	3.4646e-07
386.2	3.4664e-07
386.4	3.4682e-07
386.6	3.47e-07
386.8	3.4719e-07
387.0	3.2341e-07
387.2	2.8382e-07
387.4	2.4908e-07
387.6	2.1859e-07
387.8	1.9183e-07
388.0	1.6835e-07
388.2	1.4774e-07
388.4	1.2965e-07
388.6	1.1378e-07
388.8	9.9852e-08
389.0	8.7628e-08
389.2	7.6901e-08
389.4	6.7487e-08
389.6	5.9226e-08
389.8	5.1976e-08
390.0	4.5613e-08
390.2	4.0741e-08
390.4	3.639e-08
390.6	3.2503e-08
390.8	2.9032e-08
391.0	2.5931e-08
391.2	2.3161e-08
391.4	2.0687e-08
391.6	1.8478e-08
391.8	1.6504e-08
392.0	1.4742e-08
392.2	1.3167e-08
392.4	1.1761e-08
392.6	1.0505e-08
392.8	9.3826e-09
393.0	1.0561e-08
393.2	1.2666e-08
393.4	1.519e-08
393.6	1.8216e-08
393.8	2.1846e-08
