wavelength	fluorescence
595.0	0.289
595.5	0.285
596.0	0.283
596.5	0.282
597.0	0.280
597.5	0.276
598.0	0.274
598.5	0.270
599.0	0.268
599.5	0.264
600.0	0.261
600.5	0.258
601.0	0.256
601.5	0.253
602.0	0.250
602.5	0.247
603.0	0.244
603.5	0.241
604.0	0.237
604.5	0.234
605.0	0.232
605.5	0.228
606.0	0.225
606.5	0.223
607.0	0.218
607.5	0.216
608.0	0.212
608.5	0.208
609.0	0.205
609.5	0.202
610.0	0.199
610.5	0.196
611.0	0.192
611.5	0.190
612.0	0.186
612.5	0.182
613.0	0.178
613.5	0.175
614.0	0.172
614.5	0.169
615.0	0.166
615.5	0.163
616.0	0.161
616.5	0.159
617.0	0.155
617.5	0.152
618.0	0.149
618.5	0.147
619.0	0.143
619.5	0.141
620.0	0.137
620.5	0.136
621.0	0.133
621.5	0.131
622.0	0.128
622.5	0.126
623.0	0.124
623.5	0.120
624.0	0.117
624.5	0.116
625.0	0.114
625.5	0.111
626.0	0.109
626.5	0.108
627.0	0.104
627.5	0.103
628.0	0.100
628.5	0.099
629.0	0.097
629.5	0.095
630.0	0.093
630.5	0.090
631.0	0.090
631.5	0.087
632.0	0.086
632.5	0.084
633.0	0.083
633.5	0.081
634.0	0.080
634.5	0.078
635.0	0.076
635.5	0.075
636.0	0.074
636.5	0.073
637.0	0.071
637.5	0.069
638.0	0.068
638.5	0.067
639.0	0.065
639.5	0.064
640.0	0.063
640.5	0.062
641.0	0.061
641.5	0.060
642.0	0.060
642.5	0.058
643.0	0.057
643.5	0.055
644.0	0.056
644.5	0.055
645.0	0.054
645.5	0.053
646.0	0.052
646.5	0.051
647.0	0.051
647.5	0.049
648.0	0.048
648.5	0.048
649.0	0.047
649.5	0.047
650.0	0.046
650.5	0.045
651.0	0.045
651.5	0.045
652.0	0.043
652.5	0.042
653.0	0.042
653.5	0.042
654.0	0.041
654.5	0.040
655.0	0.040
655.5	0.039
656.0	0.039
656.5	0.038
657.0	0.037
657.5	0.037
658.0	0.036
658.5	0.036
659.0	0.035
659.5	0.035
660.0	0.034
660.5	0.034
661.0	0.033
661.5	0.034
662.0	0.033
662.5	0.032
663.0	0.032
663.5	0.031
664.0	0.031
664.5	0.031
665.0	0.030
665.5	0.030
666.0	0.029
666.5	0.029
667.0	0.028
667.5	0.028
668.0	0.027
668.5	0.027
669.0	0.027
669.5	0.027
670.0	0.026
670.5	0.025
671.0	0.025
671.5	0.024
672.0	0.024
672.5	0.024
673.0	0.023
673.5	0.023
674.0	0.023
674.5	0.023
675.0	0.022
675.5	0.022
676.0	0.021
676.5	0.021
677.0	0.021
677.5	0.020
678.0	0.020
678.5	0.020
679.0	0.020
679.5	0.019
680.0	0.019
680.5	0.019
681.0	0.018
681.5	0.018
682.0	0.018
682.5	0.018
683.0	0.017
683.5	0.017
684.0	0.017
684.5	0.016
685.0	0.016
685.5	0.016
686.0	0.015
686.5	0.015
687.0	0.015
687.5	0.014
688.0	0.014
688.5	0.014
689.0	0.014
689.5	0.014
690.0	0.013
690.5	0.014
691.0	0.013
691.5	0.012
692.0	0.012
692.5	0.012
693.0	0.012
693.5	0.012
694.0	0.011
694.5	0.011
695.0	0.011
695.5	0.011
696.0	0.011
696.5	0.010
697.0	0.010
697.5	0.010
698.0	0.010
698.5	0.010
699.0	0.010
699.5	0.009
700.0	0.009
700.5	0.009
701.0	0.009
701.5	0.009
702.0	0.009
702.5	0.009
703.0	0.008
703.5	0.008
704.0	0.008
704.5	0.008
705.0	0.008
705.5	0.008
706.0	0.008
706.5	0.008
707.0	0.007
707.5	0.007
708.0	0.007
708.5	0.007
709.0	0.007
709.5	0.007
710.0	0.007
710.5	0.007
711.0	0.006
711.5	0.006
712.0	0.006
712.5	0.006
713.0	0.006
713.5	0.006
714.0	0.006
714.5	0.006
715.0	0.006
715.5	0.005
716.0	0.005
716.5	0.005
717.0	0.005
717.5	0.005
718.0	0.005
718.5	0.005
719.0	0.005
719.5	0.005
720.0	0.005
720.5	0.005
721.0	0.005
721.5	0.005
722.0	0.005
722.5	0.005
723.0	0.004
723.5	0.004
724.0	0.004
724.5	0.005
725.0	0.004
725.5	0.004
726.0	0.004
726.5	0.004
727.0	0.004
727.5	0.004
728.0	0.004
728.5	0.004
729.0	0.004
729.5	0.003
730.0	0.004
730.5	0.004
731.0	0.004
731.5	0.004
732.0	0.003
732.5	0.004
733.0	0.003
733.5	0.003
734.0	0.003
734.5	0.003
735.0	0.003
735.5	0.003
736.0	0.003
736.5	0.003
737.0	0.003
737.5	0.003
738.0	0.003
738.5	0.003
739.0	0.003
739.5	0.003
740.0	0.003
740.5	0.003
741.0	0.003
741.5	0.003
742.0	0.003
742.5	0.003
743.0	0.003
743.5	0.003
744.0	0.003
744.5	0.002
745.0	0.002
745.5	0.003
746.0	0.002
746.5	0.002
747.0	0.003
747.5	0.002
748.0	0.002
748.5	0.002
749.0	0.002
749.5	0.002
750.0	0.002
750.5	0.002
751.0	0.002
751.5	0.002
752.0	0.002
752.5	0.002
753.0	0.002
753.5	0.002
754.0	0.002
754.5	0.002
755.0	0.002
755.5	0.002
756.0	0.002
756.5	0.002
757.0	0.002
757.5	0.002
758.0	0.002
758.5	0.002
759.0	0.002
759.5	0.002
760.0	0.002
760.5	0.002
761.0	0.002
761.5	0.002
762.0	0.002
762.5	0.002
763.0	0.002
763.5	0.002
764.0	0.002
764.5	0.001
765.0	0.001
765.5	0.002
766.0	0.001
766.5	0.001
767.0	0.001
767.5	0.001
768.0	0.001
768.5	0.001
769.0	0.001
769.5	0.001
770.0	0.001
770.5	0.001
771.0	0.001
771.5	0.001
772.0	0.001
772.5	0.001
773.0	0.001
773.5	0.001
774.0	0.001
774.5	0.001
775.0	0.001
775.5	0.001
776.0	0.001
776.5	0.001
777.0	0.001
777.5	0.001
778.0	0.001
778.5	0.001
779.0	0.001
779.5	0.001
780.0	0.001
780.5	0.001
781.0	0.001
781.5	0.001
782.0	0.001
782.5	0.001
783.0	0.001
783.5	0.001
784.0	0.001
784.5	0.001
785.0	0.001
785.5	0.001
786.0	0.001
786.5	0.001
787.0	0.001
787.5	0.001
788.0	0.001
788.5	0.001
789.0	0.001
789.5	0.001
790.0	0.001
790.5	0.001
791.0	0.001
791.5	0.001
792.0	0.001
792.5	0.001
793.0	0.001
793.5	0.001
794.0	0.001
794.5	0.001
795.0	0.001
795.5	0.001
796.0	0.001
796.5	0.001
797.0	0.001
797.5	0.000
798.0	0.001
798.5	0.001
799.0	0.001
799.5	0.001
800.0	0.001
800.5	0.001
801.0	0.001
801.5	0.000
802.0	0.001
802.5	0.001
803.0	0.001
803.5	0.001
804.0	0.001
804.5	0.001
805.0	0.000
805.5	0.000
806.0	0.001
806.5	0.000
807.0	0.000
807.5	0.000
808.0	0.000
808.5	0.000
809.0	0.001
809.5	0.001
810.0	0.000
810.5	0.000
811.0	0.000
811.5	0.000
812.0	0.000
812.5	0.000
813.0	0.000
813.5	0.000
814.0	0.000
814.5	0.000
815.0	0.000
815.5	0.001
816.0	0.001
816.5	0.000
817.0	0.000
817.5	0.000
818.0	0.000
818.5	0.000
819.0	0.000
819.5	0.001
820.0	0.000
820.5	0.000
821.0	0.000
821.5	0.000
822.0	0.000
822.5	0.001
823.0	0.000
823.5	0.000
824.0	0.000
824.5	0.000
825.0	0.000
825.5	0.000
826.0	0.000
826.5	0.000
827.0	0.000
827.5	0.000
828.0	0.000
828.5	0.000
829.0	0.000
829.5	0.000
830.0	0.000
830.5	0.000
831.0	0.000
831.5	0.000
832.0	0.000
832.5	0.000
833.0	0.000
833.5	0.000
834.0	0.000
834.5	0.000
835.0	0.000
835.5	0.000
836.0	0.000
836.5	0.000
837.0	0.000
837.5	0.000
838.0	0.000
838.5	0.000
839.0	0.000
839.5	0.000
840.0	0.000
840.5	0.000
841.0	0.000
841.5	0.000
842.0	0.000
842.5	0.000
843.0	0.000
843.5	0.000
844.0	0.000
844.5	0.000
845.0	0.000
845.5	0.000
846.0	0.000
846.5	0.000
847.0	0.000
847.5	0.000
848.0	0.000
848.5	0.000
849.0	0.000
849.5	0.000
850.0	0.000
