wavelength	absorption
385.5	0.045
386.0	0.045
386.5	0.044
387.0	0.044
387.5	0.043
388.0	0.043
388.5	0.042
389.0	0.041
389.5	0.041
390.0	0.040
390.5	0.039
391.0	0.038
391.5	0.037
392.0	0.036
392.5	0.035
393.0	0.034
393.5	0.033
394.0	0.032
394.5	0.031
395.0	0.030
395.5	0.029
396.0	0.028
396.5	0.027
397.0	0.026
397.5	0.025
398.0	0.024
398.5	0.024
399.0	0.023
399.5	0.023
400.0	0.022
400.5	0.022
401.0	0.021
401.5	0.021
402.0	0.021
402.5	0.021
403.0	0.020
403.5	0.020
404.0	0.020
404.5	0.020
405.0	0.020
405.5	0.020
406.0	0.020
406.5	0.020
407.0	0.020
407.5	0.020
408.0	0.020
408.5	0.020
409.0	0.020
409.5	0.020
410.0	0.020
410.5	0.019
411.0	0.019
411.5	0.019
412.0	0.019
412.5	0.019
413.0	0.019
413.5	0.019
414.0	0.019
414.5	0.019
415.0	0.019
415.5	0.019
416.0	0.019
416.5	0.019
417.0	0.019
417.5	0.019
418.0	0.019
418.5	0.019
419.0	0.019
419.5	0.019
420.0	0.019
420.5	0.018
421.0	0.018
421.5	0.018
422.0	0.018
422.5	0.018
423.0	0.018
423.5	0.018
424.0	0.017
424.5	0.017
425.0	0.017
425.5	0.017
426.0	0.017
426.5	0.017
427.0	0.017
427.5	0.017
428.0	0.017
428.5	0.017
429.0	0.017
429.5	0.017
430.0	0.017
430.5	0.017
431.0	0.017
431.5	0.017
432.0	0.017
432.5	0.017
433.0	0.017
433.5	0.017
434.0	0.017
434.5	0.017
435.0	0.017
435.5	0.017
436.0	0.017
436.5	0.017
437.0	0.017
437.5	0.017
438.0	0.017
438.5	0.017
439.0	0.017
439.5	0.017
440.0	0.017
440.5	0.017
441.0	0.017
441.5	0.017
442.0	0.017
442.5	0.017
443.0	0.017
443.5	0.017
444.0	0.017
444.5	0.017
445.0	0.017
445.5	0.017
446.0	0.017
446.5	0.017
447.0	0.017
447.5	0.017
448.0	0.017
448.5	0.017
449.0	0.017
449.5	0.017
450.0	0.017
450.5	0.016
451.0	0.016
451.5	0.016
452.0	0.016
452.5	0.016
453.0	0.016
453.5	0.016
454.0	0.016
454.5	0.016
455.0	0.015
455.5	0.015
456.0	0.015
456.5	0.015
457.0	0.015
457.5	0.014
458.0	0.014
458.5	0.014
459.0	0.014
459.5	0.014
460.0	0.014
460.5	0.013
461.0	0.013
461.5	0.013
462.0	0.013
462.5	0.013
463.0	0.013
463.5	0.013
464.0	0.012
464.5	0.012
465.0	0.012
465.5	0.012
466.0	0.012
466.5	0.012
467.0	0.011
467.5	0.011
468.0	0.011
468.5	0.011
469.0	0.011
469.5	0.011
470.0	0.010
470.5	0.010
471.0	0.010
471.5	0.010
472.0	0.009
472.5	0.009
473.0	0.009
473.5	0.009
474.0	0.009
474.5	0.009
475.0	0.008
475.5	0.008
476.0	0.008
476.5	0.008
477.0	0.008
477.5	0.007
478.0	0.007
478.5	0.007
479.0	0.007
479.5	0.007
480.0	0.007
480.5	0.007
481.0	0.006
481.5	0.006
482.0	0.006
482.5	0.006
483.0	0.006
483.5	0.006
484.0	0.006
484.5	0.006
485.0	0.006
485.5	0.006
486.0	0.006
486.5	0.006
487.0	0.006
487.5	0.005
488.0	0.005
488.5	0.005
489.0	0.005
489.5	0.005
490.0	0.005
490.5	0.005
491.0	0.005
491.5	0.005
492.0	0.005
492.5	0.005
493.0	0.005
493.5	0.005
494.0	0.005
494.5	0.005
495.0	0.005
495.5	0.005
496.0	0.005
496.5	0.005
497.0	0.005
497.5	0.005
498.0	0.005
498.5	0.005
499.0	0.005
499.5	0.005
500.0	0.005
500.5	0.005
501.0	0.005
501.5	0.005
502.0	0.005
502.5	0.005
503.0	0.005
503.5	0.005
504.0	0.005
504.5	0.005
505.0	0.005
505.5	0.005
506.0	0.005
506.5	0.005
507.0	0.005
507.5	0.005
508.0	0.005
508.5	0.005
509.0	0.005
509.5	0.005
510.0	0.005
510.5	0.005
511.0	0.005
511.5	0.005
512.0	0.005
512.5	0.005
513.0	0.005
513.5	0.005
514.0	0.005
514.5	0.005
515.0	0.005
515.5	0.005
516.0	0.005
516.5	0.005
517.0	0.005
517.5	0.006
518.0	0.006
518.5	0.006
519.0	0.006
519.5	0.006
520.0	0.006
520.5	0.006
521.0	0.006
521.5	0.007
522.0	0.007
522.5	0.007
523.0	0.007
523.5	0.007
524.0	0.007
524.5	0.008
525.0	0.008
525.5	0.008
526.0	0.008
526.5	0.008
527.0	0.008
527.5	0.008
528.0	0.008
528.5	0.009
529.0	0.009
529.5	0.009
530.0	0.009
530.5	0.009
531.0	0.010
531.5	0.010
532.0	0.010
532.5	0.010
533.0	0.011
533.5	0.011
534.0	0.011
534.5	0.011
535.0	0.012
535.5	0.012
536.0	0.012
536.5	0.012
537.0	0.013
537.5	0.013
538.0	0.013
538.5	0.013
539.0	0.014
539.5	0.014
540.0	0.014
540.5	0.015
541.0	0.015
541.5	0.016
542.0	0.016
542.5	0.016
543.0	0.017
543.5	0.017
544.0	0.017
544.5	0.018
545.0	0.018
545.5	0.018
546.0	0.019
546.5	0.019
547.0	0.020
547.5	0.020
548.0	0.020
548.5	0.021
549.0	0.021
549.5	0.021
550.0	0.022
550.5	0.022
551.0	0.023
551.5	0.023
552.0	0.024
552.5	0.024
553.0	0.025
553.5	0.025
554.0	0.026
554.5	0.026
555.0	0.027
555.5	0.028
556.0	0.029
556.5	0.029
557.0	0.030
557.5	0.031
558.0	0.031
558.5	0.032
559.0	0.033
559.5	0.034
560.0	0.034
560.5	0.035
561.0	0.036
561.5	0.037
562.0	0.037
562.5	0.038
563.0	0.039
563.5	0.040
564.0	0.041
564.5	0.042
565.0	0.042
565.5	0.043
566.0	0.044
566.5	0.045
567.0	0.046
567.5	0.047
568.0	0.048
568.5	0.049
569.0	0.050
569.5	0.051
570.0	0.052
570.5	0.053
571.0	0.054
571.5	0.055
572.0	0.056
572.5	0.057
573.0	0.059
573.5	0.060
574.0	0.061
574.5	0.062
575.0	0.063
575.5	0.064
576.0	0.065
576.5	0.067
577.0	0.068
577.5	0.069
578.0	0.070
578.5	0.071
579.0	0.072
579.5	0.074
580.0	0.075
580.5	0.076
581.0	0.077
581.5	0.078
582.0	0.079
582.5	0.080
583.0	0.082
583.5	0.083
584.0	0.084
584.5	0.085
585.0	0.086
585.5	0.088
586.0	0.089
586.5	0.090
587.0	0.091
587.5	0.093
588.0	0.094
588.5	0.095
589.0	0.097
589.5	0.098
590.0	0.100
590.5	0.101
591.0	0.102
591.5	0.104
592.0	0.105
592.5	0.107
593.0	0.108
593.5	0.110
594.0	0.111
594.5	0.113
595.0	0.115
595.5	0.117
596.0	0.119
596.5	0.120
597.0	0.122
597.5	0.124
598.0	0.126
598.5	0.128
599.0	0.130
599.5	0.132
600.0	0.134
600.5	0.137
601.0	0.139
601.5	0.141
602.0	0.143
602.5	0.146
603.0	0.148
603.5	0.151
604.0	0.153
604.5	0.156
605.0	0.159
605.5	0.161
606.0	0.164
606.5	0.167
607.0	0.170
607.5	0.173
608.0	0.176
608.5	0.179
609.0	0.182
609.5	0.185
610.0	0.188
610.5	0.191
611.0	0.194
611.5	0.197
612.0	0.201
612.5	0.204
613.0	0.207
613.5	0.211
614.0	0.214
614.5	0.217
615.0	0.221
615.5	0.224
616.0	0.228
616.5	0.231
617.0	0.235
617.5	0.238
618.0	0.242
618.5	0.246
619.0	0.250
619.5	0.253
620.0	0.257
620.5	0.261
621.0	0.265
621.5	0.269
622.0	0.273
622.5	0.277
623.0	0.282
623.5	0.286
624.0	0.290
624.5	0.294
625.0	0.299
625.5	0.303
626.0	0.307
626.5	0.312
627.0	0.316
627.5	0.320
628.0	0.324
628.5	0.328
629.0	0.332
629.5	0.336
630.0	0.340
630.5	0.344
631.0	0.348
631.5	0.352
632.0	0.355
632.5	0.359
633.0	0.362
633.5	0.365
634.0	0.368
634.5	0.371
635.0	0.373
635.5	0.376
636.0	0.378
636.5	0.381
637.0	0.383
637.5	0.384
638.0	0.386
638.5	0.388
639.0	0.389
639.5	0.391
640.0	0.392
640.5	0.393
641.0	0.394
641.5	0.395
642.0	0.396
642.5	0.396
643.0	0.397
643.5	0.398
644.0	0.398
644.5	0.399
645.0	0.399
645.5	0.400
646.0	0.400
646.5	0.401
647.0	0.401
647.5	0.402
648.0	0.403
648.5	0.403
649.0	0.404
649.5	0.404
650.0	0.405
650.5	0.406
651.0	0.407
651.5	0.408
652.0	0.409
652.5	0.410
653.0	0.412
653.5	0.413
654.0	0.415
654.5	0.417
655.0	0.419
655.5	0.421
656.0	0.424
656.5	0.427
657.0	0.430
657.5	0.433
658.0	0.436
658.5	0.440
659.0	0.444
659.5	0.448
660.0	0.453
660.5	0.458
661.0	0.463
661.5	0.468
662.0	0.473
662.5	0.479
663.0	0.485
663.5	0.491
664.0	0.497
664.5	0.503
665.0	0.510
665.5	0.516
666.0	0.523
666.5	0.530
667.0	0.537
667.5	0.544
668.0	0.552
668.5	0.559
669.0	0.566
669.5	0.573
670.0	0.581
670.5	0.588
671.0	0.595
671.5	0.602
672.0	0.609
672.5	0.617
673.0	0.624
673.5	0.631
674.0	0.638
674.5	0.644
675.0	0.651
675.5	0.658
676.0	0.665
676.5	0.671
677.0	0.678
677.5	0.684
678.0	0.691
678.5	0.697
679.0	0.704
679.5	0.710
680.0	0.717
680.5	0.724
681.0	0.730
681.5	0.737
682.0	0.744
682.5	0.751
683.0	0.758
683.5	0.766
684.0	0.773
684.5	0.781
685.0	0.788
685.5	0.796
686.0	0.804
686.5	0.813
687.0	0.821
687.5	0.830
688.0	0.839
688.5	0.848
689.0	0.857
689.5	0.866
690.0	0.875
690.5	0.884
691.0	0.893
691.5	0.903
692.0	0.912
692.5	0.921
693.0	0.930
693.5	0.938
694.0	0.947
694.5	0.955
695.0	0.962
695.5	0.969
696.0	0.976
696.5	0.981
697.0	0.986
697.5	0.991
698.0	0.994
698.5	0.997
699.0	0.999
699.5	1.000
700.0	1.000
700.5	0.999
701.0	0.997
701.5	0.993
702.0	0.989
702.5	0.984
703.0	0.977
703.5	0.969
704.0	0.960
704.5	0.950
705.0	0.939
705.5	0.926
706.0	0.912
706.5	0.898
707.0	0.882
707.5	0.865
708.0	0.848
708.5	0.829
709.0	0.810
709.5	0.790
710.0	0.769
710.5	0.748
711.0	0.726
711.5	0.704
712.0	0.682
712.5	0.659
713.0	0.636
713.5	0.613
714.0	0.591
714.5	0.568
715.0	0.545
715.5	0.523
716.0	0.500
716.5	0.479
717.0	0.457
717.5	0.436
718.0	0.416
718.5	0.396
719.0	0.377
719.5	0.358
720.0	0.340
720.5	0.322
721.0	0.305
721.5	0.289
722.0	0.274
722.5	0.259
723.0	0.245
723.5	0.232
724.0	0.219
724.5	0.207
725.0	0.195
725.5	0.184
726.0	0.174
726.5	0.164
727.0	0.155
727.5	0.146
728.0	0.138
728.5	0.130
729.0	0.123
729.5	0.116
730.0	0.109
730.5	0.103
731.0	0.098
731.5	0.092
732.0	0.087
732.5	0.083
733.0	0.078
733.5	0.074
734.0	0.070
734.5	0.067
735.0	0.063
735.5	0.060
736.0	0.057
736.5	0.054
737.0	0.051
737.5	0.048
738.0	0.046
738.5	0.044
739.0	0.042
739.5	0.039
740.0	0.038
740.5	0.036
741.0	0.034
741.5	0.032
742.0	0.031
742.5	0.029
743.0	0.028
743.5	0.027
744.0	0.025
744.5	0.024
745.0	0.023
745.5	0.022
746.0	0.021
746.5	0.020
747.0	0.019
747.5	0.018
748.0	0.017
748.5	0.016
749.0	0.015
749.5	0.014
750.0	0.013
750.5	0.013
751.0	0.012
751.5	0.012
752.0	0.011
752.5	0.011
753.0	0.010
753.5	0.010
754.0	0.009
754.5	0.009
755.0	0.008
755.5	0.008
756.0	0.008
756.5	0.008
757.0	0.007
757.5	0.007
758.0	0.006
758.5	0.006
759.0	0.006
759.5	0.005
760.0	0.005
760.5	0.005
761.0	0.004
761.5	0.004
762.0	0.004
762.5	0.004
763.0	0.004
763.5	0.003
764.0	0.003
764.5	0.003
765.0	0.003
765.5	0.003
766.0	0.003
766.5	0.003
767.0	0.003
767.5	0.003
768.0	0.003
768.5	0.003
769.0	0.003
769.5	0.003
770.0	0.003
770.5	0.003
771.0	0.003
771.5	0.003
772.0	0.003
772.5	0.002
773.0	0.002
773.5	0.002
774.0	0.002
774.5	0.002
775.0	0.002
775.5	0.002
776.0	0.002
776.5	0.002
777.0	0.002
777.5	0.002
778.0	0.001
778.5	0.001
779.0	0.001
779.5	0.001
780.0	0.001
780.5	0.001
781.0	0.001
781.5	0.001
782.0	0.001
782.5	0.001
783.0	0.002
783.5	0.002
784.0	0.002
784.5	0.002
785.0	0.002
785.5	0.002
786.0	0.002
786.5	0.002
787.0	0.002
787.5	0.002
788.0	0.002
788.5	0.002
789.0	0.002
789.5	0.002
790.0	0.003
790.5	0.002
791.0	0.002
791.5	0.002
792.0	0.002
792.5	0.002
793.0	0.002
793.5	0.002
794.0	0.002
794.5	0.002
795.0	0.002
795.5	0.002
796.0	0.002
796.5	0.002
797.0	0.002
797.5	0.002
798.0	0.002
798.5	0.001
799.0	0.001
799.5	0.000
800.0	0.000
